med.orarie NO2 [ug/m3] staz.** FEBBIO

aaaa mm gg hh        NO2
2014 01 01 01        7.3
2014 01 01 02        8.3
2014 01 01 03    -9999.0
2014 01 01 04    -9999.0
2014 01 01 05        3.6
2014 01 01 06        2.5
2014 01 01 07        3.2
2014 01 01 08        3.1
2014 01 01 09        3.4
2014 01 01 10        6.0
2014 01 01 11        3.5
2014 01 01 12        2.1
2014 01 01 13        2.2
2014 01 01 14        2.1
2014 01 01 15        5.0
2014 01 01 16       10.9
2014 01 01 17       11.2
2014 01 01 18        9.9
2014 01 01 19        9.3
2014 01 01 20        6.8
2014 01 01 21        8.6
2014 01 01 22        7.5
2014 01 01 23        4.6
2014 01 02 00        3.5
2014 01 02 01        3.9
2014 01 02 02        2.9
2014 01 02 03        3.0
2014 01 02 04    -9999.0
2014 01 02 05        1.8
2014 01 02 06        1.6
2014 01 02 07        1.7
2014 01 02 08        2.3
2014 01 02 09        2.9
2014 01 02 10        2.8
2014 01 02 11        2.6
2014 01 02 12        3.8
2014 01 02 13        5.8
2014 01 02 14        4.2
2014 01 02 15        2.8
2014 01 02 16        4.7
2014 01 02 17       13.2
2014 01 02 18       12.4
2014 01 02 19        8.1
2014 01 02 20        7.4
2014 01 02 21        7.1
2014 01 02 22        5.7
2014 01 02 23        4.6
2014 01 03 00        8.6
2014 01 03 01        7.2
2014 01 03 02        6.6
2014 01 03 03        5.1
2014 01 03 04    -9999.0
2014 01 03 05        3.7
2014 01 03 06        3.2
2014 01 03 07        2.9
2014 01 03 08        7.5
2014 01 03 09        4.8
2014 01 03 10        8.1
2014 01 03 11        4.2
2014 01 03 12        3.3
2014 01 03 13        2.9
2014 01 03 14        3.3
2014 01 03 15        5.5
2014 01 03 16        6.3
2014 01 03 17        5.0
2014 01 03 18        4.4
2014 01 03 19        6.2
2014 01 03 20        6.6
2014 01 03 21        8.3
2014 01 03 22        5.0
2014 01 03 23        4.4
2014 01 04 00        3.5
2014 01 04 01        2.6
2014 01 04 02        2.7
2014 01 04 03        2.2
2014 01 04 04    -9999.0
2014 01 04 05        1.9
2014 01 04 06        2.2
2014 01 04 07        1.8
2014 01 04 08        2.0
2014 01 04 09        1.9
2014 01 04 10        2.0
2014 01 04 11        2.2
2014 01 04 12        2.6
2014 01 04 13        2.8
2014 01 04 14        2.6
2014 01 04 15        2.3
2014 01 04 16        2.1
2014 01 04 17        1.8
2014 01 04 18        2.0
2014 01 04 19        1.8
2014 01 04 20        1.8
2014 01 04 21        2.1
2014 01 04 22        1.5
2014 01 04 23        1.4
2014 01 05 00        1.3
2014 01 05 01        1.1
2014 01 05 02        1.2
2014 01 05 03        1.1
