med.orarie NO2 [ug/m3] staz.** BESENZONE

aaaa mm gg hh        NO2
2014 01 01 01       17.0
2014 01 01 02    -9999.0
2014 01 01 03       11.0
2014 01 01 04        9.0
2014 01 01 05        8.0
2014 01 01 06        8.0
2014 01 01 07       12.0
2014 01 01 08       15.0
2014 01 01 09       12.0
2014 01 01 10       10.0
2014 01 01 11       12.0
2014 01 01 12       13.0
2014 01 01 13       17.0
2014 01 01 14       21.0
2014 01 01 15       24.0
2014 01 01 16       23.0
2014 01 01 17       24.0
2014 01 01 18       24.0
2014 01 01 19       21.0
2014 01 01 20       24.0
2014 01 01 21       23.0
2014 01 01 22       20.0
2014 01 01 23       21.0
2014 01 02 00       21.0
2014 01 02 01       23.0
2014 01 02 02    -9999.0
2014 01 02 03       38.0
2014 01 02 04       34.0
2014 01 02 05       30.0
2014 01 02 06       30.0
2014 01 02 07       33.0
2014 01 02 08       35.0
2014 01 02 09       33.0
2014 01 02 10       31.0
2014 01 02 11       31.0
2014 01 02 12       43.0
2014 01 02 13       46.0
2014 01 02 14       45.0
2014 01 02 15       42.0
2014 01 02 16       36.0
2014 01 02 17       39.0
2014 01 02 18       43.0
2014 01 02 19       46.0
2014 01 02 20       45.0
2014 01 02 21       42.0
2014 01 02 22       41.0
2014 01 02 23       34.0
2014 01 03 00       32.0
2014 01 03 01       26.0
2014 01 03 02    -9999.0
2014 01 03 03       31.0
2014 01 03 04       31.0
2014 01 03 05       31.0
2014 01 03 06       31.0
2014 01 03 07       29.0
2014 01 03 08       26.0
2014 01 03 09       29.0
2014 01 03 10       29.0
2014 01 03 11       31.0
2014 01 03 12       23.0
2014 01 03 13       21.0
2014 01 03 14       20.0
2014 01 03 15       26.0
2014 01 03 16       29.0
2014 01 03 17       28.0
2014 01 03 18       31.0
2014 01 03 19       25.0
2014 01 03 20       30.0
2014 01 03 21       34.0
2014 01 03 22       32.0
2014 01 03 23       31.0
2014 01 04 00       27.0
2014 01 04 01       30.0
2014 01 04 02    -9999.0
2014 01 04 03       25.0
2014 01 04 04       25.0
2014 01 04 05       23.0
2014 01 04 06       23.0
2014 01 04 07       23.0
2014 01 04 08       26.0
2014 01 04 09       25.0
2014 01 04 10       24.0
2014 01 04 11       21.0
2014 01 04 12       23.0
2014 01 04 13       26.0
2014 01 04 14       27.0
2014 01 04 15       30.0
2014 01 04 16       30.0
2014 01 04 17       28.0
2014 01 04 18       26.0
2014 01 04 19       27.0
2014 01 04 20       30.0
2014 01 04 21       34.0
2014 01 04 22       34.0
2014 01 04 23       33.0
2014 01 05 00       29.0
2014 01 05 01       35.0
2014 01 05 02    -9999.0
2014 01 05 03       33.0
2014 01 05 04       33.0
2014 01 05 05       31.0
2014 01 05 06       31.0
2014 01 05 07       33.0
2014 01 05 08       35.0
2014 01 05 09       34.0
2014 01 05 10       34.0
2014 01 05 11       32.0
2014 01 05 12       30.0
2014 01 05 13       28.0
2014 01 05 14       25.0
2014 01 05 15       17.0
2014 01 05 16       17.0
2014 01 05 17       20.0
2014 01 05 18       25.0
2014 01 05 19       24.0
2014 01 05 20       26.0
2014 01 05 21       23.0
2014 01 05 22       21.0
2014 01 05 23       16.0
2014 01 06 00       15.0
2014 01 06 01       19.0
2014 01 06 02    -9999.0
2014 01 06 03       27.0
2014 01 06 04       24.0
2014 01 06 05       23.0
2014 01 06 06       26.0
2014 01 06 07       26.0
2014 01 06 08       22.0
2014 01 06 09       17.0
2014 01 06 10       21.0
2014 01 06 11       23.0
2014 01 06 12       17.0
2014 01 06 13       14.0
2014 01 06 14       13.0
2014 01 06 15       15.0
2014 01 06 16       18.0
2014 01 06 17       18.0
2014 01 06 18       22.0
2014 01 06 19       26.0
2014 01 06 20       24.0
2014 01 06 21       23.0
2014 01 06 22       36.0
2014 01 06 23       30.0
2014 01 07 00       27.0
2014 01 07 01       22.0
2014 01 07 02    -9999.0
2014 01 07 03       16.0
2014 01 07 04       14.0
2014 01 07 05       10.0
2014 01 07 06        9.0
2014 01 07 07       13.0
2014 01 07 08       18.0
2014 01 07 09       23.0
2014 01 07 10       26.0
2014 01 07 11       33.0
2014 01 07 12       30.0
2014 01 07 13       29.0
2014 01 07 14       26.0
2014 01 07 15       27.0
2014 01 07 16       29.0
2014 01 07 17       29.0
2014 01 07 18       29.0
2014 01 07 19       27.0
2014 01 07 20       24.0
2014 01 07 21       22.0
2014 01 07 22       27.0
2014 01 07 23       31.0
2014 01 08 00       34.0
2014 01 08 01       40.0
2014 01 08 02    -9999.0
2014 01 08 03       40.0
2014 01 08 04       37.0
2014 01 08 05       35.0
2014 01 08 06       34.0
2014 01 08 07       33.0
2014 01 08 08       30.0
2014 01 08 09       34.0
2014 01 08 10       29.0
2014 01 08 11       29.0
2014 01 08 12       31.0
2014 01 08 13       40.0
2014 01 08 14       32.0
2014 01 08 15       35.0
2014 01 08 16       42.0
2014 01 08 17       42.0
2014 01 08 18       41.0
2014 01 08 19       38.0
2014 01 08 20       36.0
2014 01 08 21       32.0
2014 01 08 22       27.0
2014 01 08 23       28.0
2014 01 09 00       31.0
2014 01 09 01       32.0
2014 01 09 02    -9999.0
2014 01 09 03       37.0
2014 01 09 04       38.0
2014 01 09 05       37.0
2014 01 09 06       40.0
2014 01 09 07       42.0
2014 01 09 08       38.0
2014 01 09 09       36.0
2014 01 09 10       36.0
2014 01 09 11       37.0
2014 01 09 12       36.0
2014 01 09 13       35.0
2014 01 09 14       34.0
2014 01 09 15       34.0
2014 01 09 16       40.0
2014 01 09 17       46.0
2014 01 09 18       46.0
2014 01 09 19       42.0
2014 01 09 20       33.0
2014 01 09 21       30.0
2014 01 09 22       33.0
2014 01 09 23       29.0
2014 01 10 00       27.0
2014 01 10 01       29.0
2014 01 10 02    -9999.0
2014 01 10 03       28.0
2014 01 10 04       25.0
2014 01 10 05       29.0
2014 01 10 06       26.0
2014 01 10 07       29.0
2014 01 10 08       28.0
2014 01 10 09       26.0
2014 01 10 10       25.0
2014 01 10 11    -9999.0
2014 01 10 12    -9999.0
2014 01 10 13       25.0
2014 01 10 14       26.0
2014 01 10 15       26.0
2014 01 10 16       25.0
2014 01 10 17       27.0
2014 01 10 18       30.0
2014 01 10 19       36.0
2014 01 10 20       36.0
2014 01 10 21       39.0
2014 01 10 22       35.0
2014 01 10 23       36.0
2014 01 11 00       37.0
2014 01 11 01       37.0
2014 01 11 02    -9999.0
2014 01 11 03       31.0
2014 01 11 04       32.0
2014 01 11 05       32.0
2014 01 11 06       30.0
2014 01 11 07       31.0
2014 01 11 08       30.0
2014 01 11 09       30.0
2014 01 11 10       32.0
2014 01 11 11       33.0
2014 01 11 12       36.0
2014 01 11 13       35.0
2014 01 11 14       38.0
2014 01 11 15       40.0
2014 01 11 16       38.0
2014 01 11 17       38.0
2014 01 11 18       34.0
2014 01 11 19       28.0
2014 01 11 20       28.0
2014 01 11 21       30.0
2014 01 11 22       35.0
2014 01 11 23       33.0
2014 01 12 00       30.0
2014 01 12 01       32.0
2014 01 12 02    -9999.0
2014 01 12 03       31.0
2014 01 12 04       27.0
2014 01 12 05       27.0
2014 01 12 06       24.0
2014 01 12 07       21.0
2014 01 12 08       22.0
2014 01 12 09       19.0
2014 01 12 10       18.0
2014 01 12 11       17.0
2014 01 12 12       17.0
2014 01 12 13       16.0
2014 01 12 14       17.0
2014 01 12 15       18.0
2014 01 12 16       15.0
2014 01 12 17       14.0
2014 01 12 18       15.0
2014 01 12 19       15.0
2014 01 12 20       21.0
2014 01 12 21       26.0
2014 01 12 22       34.0
2014 01 12 23       35.0
2014 01 13 00       37.0
2014 01 13 01       35.0
2014 01 13 02    -9999.0
2014 01 13 03       23.0
2014 01 13 04       19.0
2014 01 13 05       15.0
2014 01 13 06       15.0
2014 01 13 07       16.0
2014 01 13 08       14.0
2014 01 13 09       14.0
2014 01 13 10       15.0
2014 01 13 11       18.0
2014 01 13 12       19.0
2014 01 13 13       18.0
2014 01 13 14       19.0
2014 01 13 15       20.0
2014 01 13 16       21.0
2014 01 13 17       22.0
2014 01 13 18       25.0
2014 01 13 19       26.0
2014 01 13 20       25.0
2014 01 13 21       23.0
2014 01 13 22       27.0
2014 01 13 23       29.0
2014 01 14 00       25.0
2014 01 14 01       24.0
2014 01 14 02    -9999.0
2014 01 14 03       23.0
2014 01 14 04       36.0
2014 01 14 05       37.0
2014 01 14 06       35.0
2014 01 14 07       29.0
2014 01 14 08       26.0
2014 01 14 09       24.0
2014 01 14 10       22.0
2014 01 14 11       31.0
2014 01 14 12       30.0
2014 01 14 13       24.0
2014 01 14 14       21.0
2014 01 14 15       26.0
2014 01 14 16       27.0
2014 01 14 17       28.0
2014 01 14 18       35.0
2014 01 14 19       37.0
2014 01 14 20       40.0
2014 01 14 21       39.0
2014 01 14 22       37.0
2014 01 14 23       24.0
2014 01 15 00       25.0
2014 01 15 01       25.0
2014 01 15 02    -9999.0
2014 01 15 03       25.0
2014 01 15 04       18.0
2014 01 15 05       17.0
2014 01 15 06       14.0
2014 01 15 07       15.0
2014 01 15 08       23.0
2014 01 15 09       26.0
