med.orarie NO2 [ug/m3] staz.** GIARDINI MARGHERITA

aaaa mm gg hh        NO2
2014 01 01 01    -9999.0
2014 01 01 02       27.0
2014 01 01 03       23.0
2014 01 01 04       28.0
2014 01 01 05       29.0
2014 01 01 06       24.0
2014 01 01 07       28.0
2014 01 01 08       18.0
2014 01 01 09       24.0
2014 01 01 10       29.0
2014 01 01 11       36.0
2014 01 01 12       40.0
2014 01 01 13       42.0
2014 01 01 14       44.0
2014 01 01 15       47.0
2014 01 01 16       49.0
2014 01 01 17       52.0
2014 01 01 18       53.0
2014 01 01 19       50.0
2014 01 01 20       52.0
2014 01 01 21       53.0
2014 01 01 22       51.0
2014 01 01 23       52.0
2014 01 02 00       48.0
2014 01 02 01    -9999.0
2014 01 02 02       44.0
2014 01 02 03       46.0
2014 01 02 04       47.0
2014 01 02 05       50.0
2014 01 02 06       50.0
2014 01 02 07       47.0
2014 01 02 08       45.0
2014 01 02 09       46.0
2014 01 02 10       48.0
2014 01 02 11       51.0
2014 01 02 12       53.0
2014 01 02 13       53.0
2014 01 02 14       54.0
2014 01 02 15       54.0
2014 01 02 16       59.0
2014 01 02 17       58.0
2014 01 02 18       54.0
2014 01 02 19       56.0
2014 01 02 20       57.0
2014 01 02 21       56.0
2014 01 02 22       56.0
2014 01 02 23       56.0
2014 01 03 00       56.0
2014 01 03 01    -9999.0
2014 01 03 02       49.0
2014 01 03 03       49.0
2014 01 03 04       48.0
2014 01 03 05       42.0
2014 01 03 06       41.0
2014 01 03 07       41.0
2014 01 03 08       47.0
2014 01 03 09       50.0
2014 01 03 10       48.0
2014 01 03 11       45.0
2014 01 03 12       44.0
2014 01 03 13       43.0
2014 01 03 14       44.0
2014 01 03 15       48.0
2014 01 03 16       51.0
2014 01 03 17       53.0
2014 01 03 18       57.0
2014 01 03 19       59.0
2014 01 03 20       59.0
2014 01 03 21       60.0
2014 01 03 22       61.0
2014 01 03 23       59.0
2014 01 04 00       59.0
2014 01 04 01    -9999.0
2014 01 04 02       53.0
2014 01 04 03       54.0
2014 01 04 04       55.0
2014 01 04 05       50.0
2014 01 04 06       49.0
2014 01 04 07       50.0
2014 01 04 08       54.0
2014 01 04 09       54.0
2014 01 04 10       53.0
2014 01 04 11       50.0
2014 01 04 12       47.0
2014 01 04 13       48.0
2014 01 04 14       54.0
2014 01 04 15       53.0
2014 01 04 16       52.0
2014 01 04 17       53.0
2014 01 04 18       53.0
2014 01 04 19       52.0
2014 01 04 20       52.0
2014 01 04 21       54.0
2014 01 04 22       53.0
2014 01 04 23       42.0
2014 01 05 00       44.0
2014 01 05 01    -9999.0
2014 01 05 02       46.0
2014 01 05 03       50.0
2014 01 05 04       50.0
2014 01 05 05       42.0
2014 01 05 06       47.0
2014 01 05 07       49.0
2014 01 05 08       50.0
2014 01 05 09       50.0
2014 01 05 10       51.0
2014 01 05 11       44.0
2014 01 05 12       40.0
2014 01 05 13       39.0
2014 01 05 14       38.0
2014 01 05 15       39.0
2014 01 05 16       41.0
2014 01 05 17       43.0
2014 01 05 18       48.0
2014 01 05 19       47.0
2014 01 05 20       52.0
2014 01 05 21       51.0
2014 01 05 22       49.0
2014 01 05 23       44.0
2014 01 06 00       44.0
2014 01 06 01    -9999.0
2014 01 06 02       30.0
2014 01 06 03       30.0
2014 01 06 04       31.0
2014 01 06 05       25.0
2014 01 06 06       18.0
2014 01 06 07       15.0
2014 01 06 08       16.0
2014 01 06 09       21.0
2014 01 06 10       39.0
2014 01 06 11       34.0
2014 01 06 12       26.0
2014 01 06 13       23.0
2014 01 06 14       28.0
2014 01 06 15       31.0
2014 01 06 16       34.0
2014 01 06 17       41.0
2014 01 06 18       44.0
2014 01 06 19       47.0
2014 01 06 20       46.0
2014 01 06 21       46.0
2014 01 06 22       43.0
2014 01 06 23       41.0
2014 01 07 00       41.0
2014 01 07 01    -9999.0
2014 01 07 02       38.0
2014 01 07 03       38.0
2014 01 07 04       36.0
2014 01 07 05       31.0
2014 01 07 06       26.0
2014 01 07 07       23.0
2014 01 07 08       33.0
2014 01 07 09       37.0
2014 01 07 10       49.0
2014 01 07 11       52.0
2014 01 07 12       48.0
2014 01 07 13       47.0
2014 01 07 14       36.0
2014 01 07 15       29.0
2014 01 07 16       45.0
2014 01 07 17       51.0
2014 01 07 18       45.0
2014 01 07 19       45.0
2014 01 07 20       49.0
2014 01 07 21       48.0
2014 01 07 22       47.0
2014 01 07 23       45.0
2014 01 08 00       46.0
2014 01 08 01    -9999.0
2014 01 08 02       43.0
2014 01 08 03       40.0
2014 01 08 04       41.0
2014 01 08 05       37.0
2014 01 08 06       36.0
2014 01 08 07       35.0
2014 01 08 08       39.0
2014 01 08 09       41.0
2014 01 08 10       55.0
2014 01 08 11       51.0
2014 01 08 12       47.0
2014 01 08 13       46.0
2014 01 08 14       47.0
2014 01 08 15       52.0
2014 01 08 16       61.0
2014 01 08 17       58.0
2014 01 08 18       54.0
2014 01 08 19       53.0
2014 01 08 20       51.0
2014 01 08 21       49.0
2014 01 08 22       45.0
2014 01 08 23       43.0
2014 01 09 00       38.0
2014 01 09 01    -9999.0
2014 01 09 02       38.0
2014 01 09 03       38.0
2014 01 09 04       36.0
2014 01 09 05       34.0
2014 01 09 06       35.0
2014 01 09 07       35.0
2014 01 09 08       39.0
2014 01 09 09       43.0
2014 01 09 10       43.0
2014 01 09 11       49.0
2014 01 09 12       56.0
2014 01 09 13       58.0
2014 01 09 14       60.0
2014 01 09 15       63.0
2014 01 09 16       64.0
2014 01 09 17       59.0
2014 01 09 18       53.0
2014 01 09 19       53.0
2014 01 09 20       54.0
2014 01 09 21       51.0
2014 01 09 22       50.0
2014 01 09 23       44.0
2014 01 10 00       45.0
2014 01 10 01    -9999.0
2014 01 10 02       40.0
2014 01 10 03       43.0
2014 01 10 04       39.0
2014 01 10 05       36.0
2014 01 10 06       32.0
2014 01 10 07       34.0
2014 01 10 08       41.0
2014 01 10 09       44.0
2014 01 10 10       48.0
2014 01 10 11       55.0
2014 01 10 12       51.0
2014 01 10 13       55.0
2014 01 10 14       51.0
2014 01 10 15       53.0
2014 01 10 16       54.0
2014 01 10 17       54.0
2014 01 10 18       52.0
2014 01 10 19       53.0
2014 01 10 20       55.0
2014 01 10 21       52.0
2014 01 10 22       51.0
2014 01 10 23       50.0
2014 01 11 00       48.0
2014 01 11 01    -9999.0
2014 01 11 02       44.0
2014 01 11 03       44.0
2014 01 11 04       43.0
2014 01 11 05       38.0
2014 01 11 06       38.0
2014 01 11 07       40.0
2014 01 11 08       41.0
2014 01 11 09       39.0
2014 01 11 10       46.0
