med.orarie NO2 [ug/m3] staz.** VILLA FULVIA

aaaa mm gg hh        NO2
2014 01 01 01       58.0
2014 01 01 02       56.0
2014 01 01 03    -9999.0
2014 01 01 04       54.0
2014 01 01 05       51.0
2014 01 01 06       50.0
2014 01 01 07       50.0
2014 01 01 08       50.0
2014 01 01 09       47.0
2014 01 01 10       37.0
2014 01 01 11       37.0
2014 01 01 12       35.0
2014 01 01 13       35.0
2014 01 01 14       30.0
2014 01 01 15       29.0
2014 01 01 16       34.0
2014 01 01 17       48.0
2014 01 01 18       64.0
2014 01 01 19       67.0
2014 01 01 20       74.0
2014 01 01 21       76.0
2014 01 01 22       70.0
2014 01 01 23       65.0
2014 01 02 00       66.0
2014 01 02 01       63.0
2014 01 02 02       54.0
2014 01 02 03    -9999.0
2014 01 02 04       48.0
2014 01 02 05       46.0
2014 01 02 06       51.0
2014 01 02 07       48.0
2014 01 02 08       52.0
2014 01 02 09       51.0
2014 01 02 10       54.0
2014 01 02 11       58.0
2014 01 02 12       54.0
2014 01 02 13       53.0
2014 01 02 14       58.0
2014 01 02 15       53.0
2014 01 02 16       58.0
2014 01 02 17       57.0
2014 01 02 18       59.0
2014 01 02 19       59.0
2014 01 02 20       55.0
2014 01 02 21       50.0
2014 01 02 22       51.0
2014 01 02 23       53.0
2014 01 03 00       53.0
2014 01 03 01       52.0
2014 01 03 02       52.0
2014 01 03 03    -9999.0
2014 01 03 04       48.0
2014 01 03 05       46.0
2014 01 03 06       47.0
2014 01 03 07       47.0
2014 01 03 08       47.0
2014 01 03 09       47.0
2014 01 03 10       42.0
2014 01 03 11       39.0
2014 01 03 12       41.0
2014 01 03 13       42.0
2014 01 03 14       39.0
2014 01 03 15       33.0
2014 01 03 16       37.0
2014 01 03 17       45.0
2014 01 03 18       50.0
2014 01 03 19       49.0
2014 01 03 20       49.0
2014 01 03 21       48.0
2014 01 03 22       48.0
2014 01 03 23       47.0
2014 01 04 00       45.0
2014 01 04 01       41.0
2014 01 04 02       43.0
2014 01 04 03    -9999.0
2014 01 04 04       42.0
2014 01 04 05       45.0
2014 01 04 06       41.0
2014 01 04 07       42.0
2014 01 04 08       44.0
2014 01 04 09       40.0
2014 01 04 10       36.0
2014 01 04 11       36.0
2014 01 04 12       33.0
2014 01 04 13       30.0
2014 01 04 14       27.0
2014 01 04 15       29.0
2014 01 04 16       34.0
2014 01 04 17       37.0
2014 01 04 18       39.0
2014 01 04 19       41.0
2014 01 04 20       44.0
2014 01 04 21       43.0
2014 01 04 22       42.0
2014 01 04 23       35.0
2014 01 05 00       37.0
2014 01 05 01       38.0
2014 01 05 02       41.0
2014 01 05 03    -9999.0
2014 01 05 04       37.0
2014 01 05 05       37.0
2014 01 05 06       35.0
2014 01 05 07       37.0
2014 01 05 08       34.0
2014 01 05 09       30.0
2014 01 05 10       25.0
2014 01 05 11       19.0
2014 01 05 12       25.0
2014 01 05 13       36.0
2014 01 05 14       36.0
2014 01 05 15       36.0
2014 01 05 16       36.0
2014 01 05 17       40.0
2014 01 05 18       43.0
2014 01 05 19       44.0
2014 01 05 20       41.0
2014 01 05 21       37.0
2014 01 05 22       34.0
2014 01 05 23       32.0
2014 01 06 00       33.0
2014 01 06 01       35.0
2014 01 06 02       37.0
2014 01 06 03    -9999.0
2014 01 06 04       35.0
2014 01 06 05       36.0
2014 01 06 06       36.0
2014 01 06 07       42.0
2014 01 06 08       39.0
2014 01 06 09       38.0
2014 01 06 10       35.0
2014 01 06 11       31.0
2014 01 06 12       28.0
2014 01 06 13       26.0
2014 01 06 14       25.0
2014 01 06 15       28.0
2014 01 06 16       36.0
2014 01 06 17       49.0
2014 01 06 18       61.0
2014 01 06 19       65.0
2014 01 06 20       70.0
2014 01 06 21       65.0
2014 01 06 22       62.0
2014 01 06 23       59.0
2014 01 07 00       54.0
2014 01 07 01       55.0
2014 01 07 02       46.0
2014 01 07 03    -9999.0
2014 01 07 04       50.0
2014 01 07 05       50.0
2014 01 07 06       48.0
2014 01 07 07       46.0
2014 01 07 08       49.0
2014 01 07 09       54.0
2014 01 07 10       48.0
2014 01 07 11       52.0
2014 01 07 12       50.0
2014 01 07 13       45.0
2014 01 07 14       44.0
2014 01 07 15       48.0
2014 01 07 16       52.0
2014 01 07 17       61.0
2014 01 07 18       66.0
2014 01 07 19       68.0
2014 01 07 20       75.0
2014 01 07 21       85.0
2014 01 07 22       74.0
2014 01 07 23       65.0
2014 01 08 00       64.0
2014 01 08 01       61.0
2014 01 08 02       58.0
2014 01 08 03    -9999.0
2014 01 08 04       54.0
2014 01 08 05       56.0
2014 01 08 06       57.0
2014 01 08 07       56.0
2014 01 08 08       57.0
2014 01 08 09       62.0
2014 01 08 10       59.0
2014 01 08 11       57.0
2014 01 08 12       52.0
2014 01 08 13       55.0
2014 01 08 14       60.0
2014 01 08 15       59.0
2014 01 08 16       60.0
2014 01 08 17       63.0
2014 01 08 18       57.0
2014 01 08 19       56.0
2014 01 08 20       59.0
2014 01 08 21       55.0
2014 01 08 22       57.0
2014 01 08 23       60.0
2014 01 09 00       61.0
2014 01 09 01       63.0
2014 01 09 02       63.0
2014 01 09 03    -9999.0
2014 01 09 04       52.0
2014 01 09 05       51.0
2014 01 09 06       48.0
2014 01 09 07       48.0
2014 01 09 08       49.0
2014 01 09 09       48.0
