med.orarie NO2 [ug/m3] staz.** BALLIRANA

aaaa mm gg hh        NO2
2014 01 01 01       37.0
2014 01 01 02       33.0
2014 01 01 03       27.0
2014 01 01 04       21.0
2014 01 01 05       19.0
2014 01 01 06       19.0
2014 01 01 07       17.0
2014 01 01 08       15.0
2014 01 01 09       12.0
2014 01 01 10       11.0
2014 01 01 11       13.0
2014 01 01 12       13.0
2014 01 01 13       16.0
2014 01 01 14       21.0
2014 01 01 15       19.0
2014 01 01 16       17.0
2014 01 01 17       19.0
2014 01 01 18       22.0
2014 01 01 19       19.0
2014 01 01 20       23.0
2014 01 01 21       18.0
2014 01 01 22       21.0
2014 01 01 23       25.0
2014 01 02 00       24.0
2014 01 02 01       32.0
2014 01 02 02       32.0
2014 01 02 03       28.0
2014 01 02 04       23.0
2014 01 02 05       19.0
2014 01 02 06       14.0
2014 01 02 07       17.0
2014 01 02 08       17.0
2014 01 02 09       14.0
2014 01 02 10       15.0
2014 01 02 11       23.0
2014 01 02 12       24.0
2014 01 02 13       24.0
2014 01 02 14       26.0
2014 01 02 15       26.0
2014 01 02 16       31.0
2014 01 02 17       32.0
2014 01 02 18       39.0
2014 01 02 19       43.0
2014 01 02 20       32.0
2014 01 02 21       33.0
2014 01 02 22       35.0
2014 01 02 23       34.0
2014 01 03 00       33.0
2014 01 03 01       33.0
2014 01 03 02       33.0
2014 01 03 03       34.0
2014 01 03 04       34.0
2014 01 03 05       34.0
2014 01 03 06       34.0
2014 01 03 07       33.0
2014 01 03 08       33.0
2014 01 03 09       30.0
2014 01 03 10       22.0
2014 01 03 11       18.0
2014 01 03 12       16.0
2014 01 03 13       14.0
2014 01 03 14       13.0
2014 01 03 15       14.0
2014 01 03 16       16.0
2014 01 03 17       18.0
2014 01 03 18       21.0
2014 01 03 19       24.0
2014 01 03 20       27.0
2014 01 03 21       31.0
2014 01 03 22       32.0
2014 01 03 23       33.0
2014 01 04 00       32.0
2014 01 04 01       34.0
2014 01 04 02       33.0
2014 01 04 03       29.0
2014 01 04 04       32.0
2014 01 04 05       29.0
2014 01 04 06       25.0
2014 01 04 07       24.0
2014 01 04 08       26.0
2014 01 04 09       25.0
2014 01 04 10       26.0
2014 01 04 11       28.0
2014 01 04 12       25.0
2014 01 04 13       18.0
2014 01 04 14       16.0
2014 01 04 15       25.0
2014 01 04 16       32.0
2014 01 04 17       28.0
2014 01 04 18       24.0
2014 01 04 19       18.0
2014 01 04 20       12.0
2014 01 04 21        7.0
2014 01 04 22        6.0
2014 01 04 23        2.0
2014 01 05 00       24.0
2014 01 05 01       27.0
2014 01 05 02       25.0
2014 01 05 03       25.0
2014 01 05 04       24.0
2014 01 05 05       21.0
2014 01 05 06       20.0
2014 01 05 07       20.0
2014 01 05 08       23.0
2014 01 05 09       21.0
2014 01 05 10       20.0
2014 01 05 11       24.0
2014 01 05 12       21.0
2014 01 05 13       25.0
2014 01 05 14       27.0
2014 01 05 15       26.0
2014 01 05 16       27.0
2014 01 05 17       28.0
2014 01 05 18       31.0
2014 01 05 19       31.0
2014 01 05 20       30.0
2014 01 05 21       27.0
2014 01 05 22       27.0
2014 01 05 23       24.0
2014 01 06 00       20.0
2014 01 06 01       15.0
2014 01 06 02       17.0
2014 01 06 03       16.0
2014 01 06 04       16.0
2014 01 06 05       13.0
2014 01 06 06       10.0
2014 01 06 07        8.0
2014 01 06 08       10.0
2014 01 06 09       10.0
2014 01 06 10       12.0
2014 01 06 11        9.0
2014 01 06 12        6.0
2014 01 06 13        6.0
2014 01 06 14        6.0
2014 01 06 15        8.0
2014 01 06 16       10.0
2014 01 06 17       10.0
2014 01 06 18       15.0
2014 01 06 19       16.0
2014 01 06 20       10.0
2014 01 06 21       12.0
2014 01 06 22       16.0
2014 01 06 23       24.0
2014 01 07 00       23.0
2014 01 07 01       20.0
2014 01 07 02       20.0
2014 01 07 03       25.0
2014 01 07 04       24.0
2014 01 07 05       21.0
2014 01 07 06       19.0
2014 01 07 07       18.0
2014 01 07 08       16.0
2014 01 07 09       14.0
2014 01 07 10       15.0
2014 01 07 11       20.0
2014 01 07 12       22.0
2014 01 07 13       26.0
2014 01 07 14       33.0
2014 01 07 15       36.0
2014 01 07 16       39.0
2014 01 07 17       37.0
2014 01 07 18       33.0
2014 01 07 19       29.0
2014 01 07 20       29.0
2014 01 07 21       27.0
2014 01 07 22       24.0
2014 01 07 23       21.0
2014 01 08 00       22.0
2014 01 08 01       18.0
2014 01 08 02       17.0
2014 01 08 03       20.0
2014 01 08 04       22.0
2014 01 08 05       23.0
2014 01 08 06       20.0
2014 01 08 07       20.0
2014 01 08 08       19.0
2014 01 08 09       19.0
2014 01 08 10       21.0
2014 01 08 11       35.0
2014 01 08 12       45.0
2014 01 08 13       56.0
2014 01 08 14       56.0
2014 01 08 15       34.0
2014 01 08 16       15.0
2014 01 08 17       19.0
2014 01 08 18       37.0
2014 01 08 19       40.0
2014 01 08 20       40.0
2014 01 08 21       36.0
2014 01 08 22       31.0
2014 01 08 23       24.0
2014 01 09 00       21.0
2014 01 09 01       23.0
2014 01 09 02    -9999.0
2014 01 09 03    -9999.0
2014 01 09 04    -9999.0
2014 01 09 05    -9999.0
2014 01 09 06    -9999.0
2014 01 09 07    -9999.0
2014 01 09 08    -9999.0
2014 01 09 09    -9999.0
2014 01 09 10    -9999.0
2014 01 09 11    -9999.0
2014 01 09 12    -9999.0
2014 01 09 13       32.0
2014 01 09 14       34.0
2014 01 09 15       35.0
2014 01 09 16       35.0
2014 01 09 17    -9999.0
2014 01 09 18       33.0
2014 01 09 19       35.0
2014 01 09 20       32.0
2014 01 09 21       33.0
2014 01 09 22       36.0
2014 01 09 23       36.0
2014 01 10 00       39.0
2014 01 10 01       34.0
2014 01 10 02       31.0
2014 01 10 03       33.0
2014 01 10 04       31.0
2014 01 10 05       27.0
2014 01 10 06       25.0
2014 01 10 07       23.0
2014 01 10 08       24.0
2014 01 10 09       30.0
2014 01 10 10    -9999.0
2014 01 10 11       26.0
2014 01 10 12       26.0
2014 01 10 13       27.0
2014 01 10 14       28.0
2014 01 10 15       30.0
2014 01 10 16       29.0
2014 01 10 17       33.0
2014 01 10 18       33.0
2014 01 10 19       33.0
2014 01 10 20       31.0
2014 01 10 21       29.0
2014 01 10 22       29.0
2014 01 10 23       28.0
2014 01 11 00       29.0
2014 01 11 01       26.0
2014 01 11 02       24.0
2014 01 11 03       23.0
2014 01 11 04       22.0
2014 01 11 05       22.0
2014 01 11 06       19.0
2014 01 11 07       18.0
2014 01 11 08       18.0
2014 01 11 09       16.0
2014 01 11 10       20.0
2014 01 11 11       29.0
2014 01 11 12       33.0
2014 01 11 13       35.0
2014 01 11 14       35.0
2014 01 11 15       37.0
2014 01 11 16       39.0
2014 01 11 17       40.0
2014 01 11 18       38.0
2014 01 11 19       33.0
2014 01 11 20       33.0
2014 01 11 21       34.0
2014 01 11 22       41.0
2014 01 11 23       42.0
2014 01 12 00       42.0
2014 01 12 01       37.0
2014 01 12 02       31.0
2014 01 12 03       30.0
2014 01 12 04       27.0
2014 01 12 05       24.0
2014 01 12 06       27.0
2014 01 12 07       26.0
2014 01 12 08       24.0
2014 01 12 09       23.0
2014 01 12 10       26.0
2014 01 12 11       24.0
2014 01 12 12       24.0
2014 01 12 13       20.0
2014 01 12 14       16.0
2014 01 12 15       16.0
2014 01 12 16       14.0
2014 01 12 17       15.0
2014 01 12 18       19.0
2014 01 12 19       18.0
2014 01 12 20       16.0
2014 01 12 21       13.0
2014 01 12 22       14.0
2014 01 12 23       22.0
2014 01 13 00       25.0
2014 01 13 01       28.0
2014 01 13 02       34.0
2014 01 13 03       36.0
2014 01 13 04       32.0
2014 01 13 05       27.0
2014 01 13 06       26.0
2014 01 13 07       25.0
2014 01 13 08       24.0
2014 01 13 09       24.0
2014 01 13 10       22.0
2014 01 13 11       22.0
2014 01 13 12       22.0
2014 01 13 13       20.0
