med.giorn. PM10 [ug/m3] staz.** SARAGAT

aaaa mm gg       PM10
2015 02 01       43.0
2015 02 02       27.0
2015 02 03       53.0
2015 02 04       39.0
2015 02 05       12.0
2015 02 06       11.0
2015 02 07       29.0
2015 02 08       33.0
2015 02 09       47.0
2015 02 10       78.0
2015 02 11      115.0
2015 02 12       92.0
2015 02 13       94.0
2015 02 14       91.0
2015 02 15       37.0
2015 02 16       36.0
2015 02 17       56.0
2015 02 18       53.0
2015 02 19       46.0
2015 02 20       57.0
2015 02 21       75.0
2015 02 22       19.0
2015 02 23       26.0
2015 02 24       26.0
2015 02 25        9.0
2015 02 26       19.0
2015 02 27       27.0
2015 02 28       46.0
2015 03 01       41.0
2015 03 02       56.0
2015 03 03       41.0
2015 03 04       41.0
2015 03 05        9.0
2015 03 06       17.0
2015 03 07       28.0
2015 03 08       29.0
2015 03 09       31.0
2015 03 10       49.0
