med.giorn. PM10 [ug/m3] staz.** PARCO EDILCARANI

aaaa mm gg       PM10
2015 02 01       32.0
2015 02 02       21.0
2015 02 03       57.0
2015 02 04       31.0
2015 02 05       17.0
2015 02 06       17.0
2015 02 07       27.0
2015 02 08       34.0
2015 02 09       39.0
2015 02 10       53.0
2015 02 11       63.0
2015 02 12       64.0
2015 02 13       78.0
2015 02 14       82.0
2015 02 15       43.0
2015 02 16       36.0
2015 02 17    -9999.0
2015 02 18       41.0
2015 02 19       41.0
2015 02 20       41.0
2015 02 21       41.0
2015 02 22       11.0
2015 02 23       14.0
2015 02 24       19.0
2015 02 25       10.0
2015 02 26       19.0
2015 02 27       30.0
2015 02 28       37.0
2015 03 01       41.0
2015 03 02       47.0
2015 03 03       45.0
2015 03 04       45.0
2015 03 05       18.0
2015 03 06       19.0
2015 03 07       21.0
2015 03 08       22.0
2015 03 09       29.0
2015 03 10       36.0
