med.giorn. PM10 [ug/m3] staz.** CORTE BRUGNATELLA

aaaa mm gg       PM10
2015 02 01        5.0
2015 02 02        5.0
2015 02 03        8.0
2015 02 04       12.0
2015 02 05        0.0
2015 02 06    -9999.0
2015 02 07        7.0
2015 02 08        6.0
2015 02 09        8.0
2015 02 10        5.0
2015 02 11        9.0
2015 02 12       23.0
2015 02 13       28.0
2015 02 14        8.0
2015 02 15        1.0
2015 02 16        7.0
2015 02 17       18.0
2015 02 18       21.0
2015 02 19       18.0
2015 02 20        9.0
2015 02 21        0.0
2015 02 22        0.0
2015 02 23        1.0
2015 02 24        0.0
2015 02 25        3.0
2015 02 26        6.0
2015 02 27       16.0
2015 02 28       18.0
2015 03 01        8.0
2015 03 02       10.0
2015 03 03       11.0
2015 03 04       16.0
2015 03 05        5.0
2015 03 06        5.0
2015 03 07        8.0
2015 03 08       14.0
2015 03 09       17.0
2015 03 10       14.0
