med.giorn. PM10 [ug/m3] staz.** PARCO RESISTENZA

aaaa mm gg       PM10
2015 02 01       27.0
2015 02 02       29.0
2015 02 03       20.0
2015 02 04       24.0
2015 02 05        9.0
2015 02 06       14.0
2015 02 07       22.0
2015 02 08       33.0
2015 02 09       26.0
2015 02 10       36.0
2015 02 11       50.0
2015 02 12       67.0
2015 02 13       65.0
2015 02 14       80.0
2015 02 15       32.0
2015 02 16       20.0
2015 02 17       50.0
2015 02 18       41.0
2015 02 19       38.0
2015 02 20       46.0
2015 02 21    -9999.0
2015 02 22       20.0
2015 02 23       13.0
2015 02 24       19.0
2015 02 25        8.0
2015 02 26       20.0
2015 02 27       26.0
2015 02 28       37.0
2015 03 01       23.0
2015 03 02    -9999.0
2015 03 03    -9999.0
2015 03 04       43.0
2015 03 05       14.0
2015 03 06       20.0
2015 03 07       20.0
2015 03 08       27.0
2015 03 09       31.0
2015 03 10       38.0
