med.giorn. PM10 [ug/m3] staz.** GIARDINI MARGHERITA

aaaa mm gg       PM10
2015 02 01       28.0
2015 02 02       22.0
2015 02 03       36.0
2015 02 04       32.0
2015 02 05    -9999.0
2015 02 06       12.0
2015 02 07       31.0
2015 02 08       37.0
2015 02 09       29.0
2015 02 10       34.0
2015 02 11       55.0
2015 02 12       50.0
2015 02 13       52.0
2015 02 14       64.0
2015 02 15       33.0
2015 02 16       31.0
2015 02 17       42.0
2015 02 18       44.0
2015 02 19       41.0
2015 02 20    -9999.0
2015 02 21        9.0
2015 02 22       12.0
2015 02 23        8.0
2015 02 24       33.0
2015 02 25    -9999.0
2015 02 26    -9999.0
2015 02 27       25.0
2015 02 28       33.0
2015 03 01       41.0
2015 03 02    -9999.0
2015 03 03    -9999.0
2015 03 04       47.0
2015 03 05    -9999.0
2015 03 06    -9999.0
2015 03 07       17.0
2015 03 08       26.0
2015 03 09    -9999.0
2015 03 10       34.0
