med.giorn. PM10 [ug/m3] staz.** SAN PIETRO CAPOFIUME

aaaa mm gg       PM10
2015 02 01       29.0
2015 02 02       40.0
2015 02 03       39.0
2015 02 04       20.0
2015 02 05       11.0
2015 02 06       14.0
2015 02 07       25.0
2015 02 08       38.0
2015 02 09       27.0
2015 02 10       41.0
2015 02 11       77.0
2015 02 12       77.0
2015 02 13       85.0
2015 02 14       78.0
2015 02 15       31.0
2015 02 16       19.0
2015 02 17       38.0
2015 02 18       34.0
2015 02 19       47.0
2015 02 20       46.0
2015 02 21       21.0
2015 02 22        6.0
2015 02 23       14.0
2015 02 24       28.0
2015 02 25        6.0
2015 02 26       16.0
2015 02 27       27.0
2015 02 28       29.0
2015 03 01       40.0
2015 03 02       34.0
2015 03 03       41.0
2015 03 04       26.0
2015 03 05       11.0
2015 03 06       15.0
2015 03 07       19.0
2015 03 08       20.0
2015 03 09       30.0
2015 03 10       44.0
