med.giorn. PM10 [ug/m3] staz.** CENTO

aaaa mm gg       PM10
2015 02 01       44.0
2015 02 02       44.0
2015 02 03       47.0
2015 02 04       27.0
2015 02 05        9.0
2015 02 06       13.0
2015 02 07       29.0
2015 02 08       42.0
2015 02 09       42.0
2015 02 10       59.0
2015 02 11      109.0
2015 02 12       91.0
2015 02 13      105.0
2015 02 14       89.0
2015 02 15       35.0
2015 02 16    -9999.0
2015 02 17    -9999.0
2015 02 18       41.0
2015 02 19       47.0
2015 02 20       51.0
2015 02 21       31.0
2015 02 22       10.0
2015 02 23       18.0
2015 02 24       35.0
2015 02 25        8.0
2015 02 26       23.0
2015 02 27       34.0
2015 02 28       34.0
2015 03 01       56.0
2015 03 02       50.0
2015 03 03       46.0
2015 03 04       33.0
2015 03 05       13.0
2015 03 06       20.0
2015 03 07       29.0
2015 03 08       31.0
2015 03 09       37.0
2015 03 10       56.0
