med.giorn. PM10 [ug/m3] staz.** CAORLE

aaaa mm gg       PM10
2015 02 01       36.0
2015 02 02       40.0
2015 02 03       18.0
2015 02 04       16.0
2015 02 05       22.0
2015 02 06       19.0
2015 02 07       23.0
2015 02 08       30.0
2015 02 09       19.0
2015 02 10    -9999.0
2015 02 11       68.0
2015 02 12       89.0
2015 02 13       86.0
2015 02 14       79.0
2015 02 15       29.0
2015 02 16    -9999.0
2015 02 17    -9999.0
2015 02 18       35.0
2015 02 19       50.0
2015 02 20       55.0
2015 02 21       31.0
2015 02 22       21.0
2015 02 23       23.0
2015 02 24       28.0
2015 02 25        9.0
2015 02 26       24.0
2015 02 27       35.0
2015 02 28       36.0
2015 03 01       39.0
2015 03 02       31.0
2015 03 03       48.0
2015 03 04       30.0
2015 03 05       15.0
2015 03 06       14.0
2015 03 07       15.0
2015 03 08       22.0
2015 03 09       31.0
2015 03 10       51.0
