med.giorn. PM10 [ug/m3] staz.** MARECCHIA

aaaa mm gg       PM10
2015 02 01       29.0
2015 02 02       53.0
2015 02 03       26.0
2015 02 04       32.0
2015 02 05       23.0
2015 02 06       27.0
2015 02 07       27.0
2015 02 08       26.0
2015 02 09       31.0
2015 02 10       45.0
2015 02 11       60.0
2015 02 12       92.0
2015 02 13       77.0
2015 02 14       73.0
2015 02 15       33.0
2015 02 16       17.0
2015 02 17       48.0
2015 02 18       42.0
2015 02 19       48.0
2015 02 20       52.0
2015 02 21       27.0
2015 02 22       19.0
2015 02 23       18.0
2015 02 24       26.0
2015 02 25       19.0
2015 02 26       27.0
2015 02 27       36.0
2015 02 28       49.0
2015 03 01       40.0
2015 03 02       27.0
2015 03 03       62.0
2015 03 04       51.0
2015 03 05       24.0
2015 03 06    -9999.0
2015 03 07    -9999.0
2015 03 08    -9999.0
2015 03 09    -9999.0
2015 03 10       42.0
