med.giorn. PM10 [ug/m3] staz.** VERUCCHIO

aaaa mm gg       PM10
2015 02 01       11.0
2015 02 02       24.0
2015 02 03       13.0
2015 02 04       16.0
2015 02 05       13.0
2015 02 06       16.0
2015 02 07       23.0
2015 02 08       24.0
2015 02 09       18.0
2015 02 10       32.0
2015 02 11       37.0
2015 02 12       56.0
2015 02 13       55.0
2015 02 14       61.0
2015 02 15       25.0
2015 02 16       19.0
2015 02 17       40.0
2015 02 18       33.0
2015 02 19       34.0
2015 02 20       32.0
2015 02 21       19.0
2015 02 22       13.0
2015 02 23       11.0
2015 02 24       19.0
2015 02 25       12.0
2015 02 26       19.0
2015 02 27       22.0
2015 02 28       32.0
2015 03 01       23.0
2015 03 02       20.0
2015 03 03       46.0
2015 03 04       47.0
2015 03 05       13.0
2015 03 06       15.0
2015 03 07       18.0
2015 03 08       21.0
2015 03 09       24.0
2015 03 10       32.0
