med.orarie NO2 [ug/m3] staz.** S. LAZZARO

aaaa mm gg hh        NO2
2014 01 01 01       22.6
2014 01 01 02       24.1
2014 01 01 03       26.3
2014 01 01 04       23.8
2014 01 01 05       23.1
2014 01 01 06       22.2
2014 01 01 07       22.8
2014 01 01 08       22.8
2014 01 01 09       24.0
2014 01 01 10       21.9
2014 01 01 11       18.6
2014 01 01 12       20.5
2014 01 01 13       17.6
2014 01 01 14       16.5
2014 01 01 15       15.9
2014 01 01 16       18.5
2014 01 01 17       23.7
2014 01 01 18       31.4
2014 01 01 19       34.1
2014 01 01 20       33.5
2014 01 01 21       35.2
2014 01 01 22       33.8
2014 01 01 23       30.1
2014 01 02 00       33.1
2014 01 02 01       29.1
2014 01 02 02       26.6
2014 01 02 03       25.8
2014 01 02 04       26.2
2014 01 02 05       28.4
2014 01 02 06       26.3
2014 01 02 07       24.6
2014 01 02 08       29.4
2014 01 02 09       32.5
2014 01 02 10       30.1
2014 01 02 11       33.7
2014 01 02 12       35.6
2014 01 02 13       32.9
2014 01 02 14       33.5
2014 01 02 15       34.8
2014 01 02 16       34.5
2014 01 02 17       39.6
2014 01 02 18       40.3
2014 01 02 19       39.8
2014 01 02 20       39.4
2014 01 02 21       38.4
2014 01 02 22       37.2
2014 01 02 23       33.6
2014 01 03 00       31.8
2014 01 03 01       31.3
2014 01 03 02       27.1
2014 01 03 03       25.6
2014 01 03 04       24.7
2014 01 03 05       21.8
2014 01 03 06       19.8
2014 01 03 07       22.5
2014 01 03 08       26.7
2014 01 03 09       27.5
2014 01 03 10       26.6
2014 01 03 11       26.8
2014 01 03 12       28.2
2014 01 03 13       31.3
2014 01 03 14       35.9
2014 01 03 15       33.3
2014 01 03 16       31.2
2014 01 03 17       32.3
2014 01 03 18       35.0
2014 01 03 19       38.0
2014 01 03 20       38.4
2014 01 03 21       36.7
2014 01 03 22       35.0
2014 01 03 23       34.3
2014 01 04 00       31.8
2014 01 04 01       25.8
2014 01 04 02       21.2
2014 01 04 03       19.8
2014 01 04 04       19.5
2014 01 04 05       22.5
2014 01 04 06       22.6
2014 01 04 07       21.2
2014 01 04 08       21.1
2014 01 04 09       24.0
2014 01 04 10       20.6
2014 01 04 11       21.2
2014 01 04 12       23.6
2014 01 04 13       26.8
2014 01 04 14       23.7
2014 01 04 15       23.3
2014 01 04 16       21.2
2014 01 04 17       24.8
2014 01 04 18       27.8
2014 01 04 19       28.6
2014 01 04 20       25.9
2014 01 04 21       30.3
2014 01 04 22       31.0
2014 01 04 23       31.4
2014 01 05 00       29.9
2014 01 05 01       28.6
2014 01 05 02       27.5
2014 01 05 03       25.5
2014 01 05 04       27.1
2014 01 05 05       26.4
2014 01 05 06       24.9
2014 01 05 07       25.8
2014 01 05 08       29.8
2014 01 05 09       29.9
2014 01 05 10       30.5
2014 01 05 11       30.0
2014 01 05 12       30.5
2014 01 05 13       28.5
2014 01 05 14       26.3
2014 01 05 15       24.3
2014 01 05 16       24.4
2014 01 05 17       26.6
2014 01 05 18       26.3
2014 01 05 19       25.6
2014 01 05 20       23.2
2014 01 05 21       26.7
2014 01 05 22       23.1
2014 01 05 23       18.6
2014 01 06 00       17.1
2014 01 06 01       15.5
2014 01 06 02       14.1
2014 01 06 03       13.7
2014 01 06 04       13.7
2014 01 06 05       15.0
2014 01 06 06       20.1
2014 01 06 07       21.5
2014 01 06 08       22.9
2014 01 06 09       20.9
2014 01 06 10       23.3
2014 01 06 11       23.3
2014 01 06 12       21.4
2014 01 06 13       21.1
2014 01 06 14       23.0
2014 01 06 15       20.2
2014 01 06 16       22.1
2014 01 06 17       25.4
2014 01 06 18       34.0
2014 01 06 19       36.4
2014 01 06 20       37.5
2014 01 06 21       29.4
2014 01 06 22       24.0
2014 01 06 23       25.1
2014 01 07 00       23.0
2014 01 07 01       22.7
2014 01 07 02       24.0
2014 01 07 03       21.1
2014 01 07 04       16.4
2014 01 07 05       14.9
2014 01 07 06       13.9
2014 01 07 07       14.1
2014 01 07 08       21.3
2014 01 07 09       34.3
2014 01 07 10       38.2
2014 01 07 11       35.5
2014 01 07 12       28.2
2014 01 07 13       26.3
2014 01 07 14       27.9
2014 01 07 15       31.5
2014 01 07 16       32.4
2014 01 07 17       35.3
2014 01 07 18       38.0
2014 01 07 19       40.1
2014 01 07 20       38.3
2014 01 07 21       55.3
2014 01 07 22       41.2
2014 01 07 23       32.8
2014 01 08 00       27.2
2014 01 08 01       21.9
2014 01 08 02       22.2
2014 01 08 03       22.5
2014 01 08 04       23.9
2014 01 08 05       21.7
2014 01 08 06       21.7
2014 01 08 07       23.5
2014 01 08 08       29.9
2014 01 08 09       38.9
2014 01 08 10       37.6
2014 01 08 11       33.8
2014 01 08 12       36.6
2014 01 08 13       38.1
2014 01 08 14       36.0
2014 01 08 15       34.1
2014 01 08 16       33.0
2014 01 08 17       35.3
2014 01 08 18       38.7
2014 01 08 19       41.1
2014 01 08 20       40.5
2014 01 08 21       36.5
2014 01 08 22       29.8
2014 01 08 23       27.2
2014 01 09 00       22.9
2014 01 09 01       20.5
2014 01 09 02       20.7
2014 01 09 03       18.4
2014 01 09 04       15.7
2014 01 09 05       16.8
2014 01 09 06       19.5
2014 01 09 07       23.1
2014 01 09 08       30.4
2014 01 09 09       40.0
2014 01 09 10       41.5
2014 01 09 11       37.4
2014 01 09 12       35.0
2014 01 09 13       29.4
