med.orarie NO2 [ug/m3] staz.** S. ROCCO

aaaa mm gg hh        NO2
2014 01 01 01       28.9
2014 01 01 02       26.4
2014 01 01 03       24.3
2014 01 01 04       22.6
2014 01 01 05       21.2
2014 01 01 06       21.3
2014 01 01 07       23.0
2014 01 01 08       22.2
2014 01 01 09       16.3
2014 01 01 10       10.8
2014 01 01 11       12.5
2014 01 01 12       11.8
2014 01 01 13       12.3
2014 01 01 14       13.3
2014 01 01 15       14.6
2014 01 01 16       15.3
2014 01 01 17       15.3
2014 01 01 18       16.2
2014 01 01 19       18.1
2014 01 01 20       17.9
2014 01 01 21       22.6
2014 01 01 22       21.3
2014 01 01 23       20.4
2014 01 02 00       22.0
2014 01 02 01       21.0
2014 01 02 02       19.2
2014 01 02 03       21.3
2014 01 02 04       23.4
2014 01 02 05       23.3
2014 01 02 06       20.7
2014 01 02 07       18.6
2014 01 02 08       20.2
2014 01 02 09       20.5
2014 01 02 10       23.1
2014 01 02 11       25.3
2014 01 02 12       29.0
2014 01 02 13       29.7
2014 01 02 14       32.4
2014 01 02 15       34.5
2014 01 02 16       34.2
2014 01 02 17       33.0
2014 01 02 18       32.4
2014 01 02 19       33.1
2014 01 02 20       33.2
2014 01 02 21       32.7
2014 01 02 22       32.0
2014 01 02 23       32.2
2014 01 03 00       31.7
2014 01 03 01       31.1
2014 01 03 02       32.5
2014 01 03 03       31.3
2014 01 03 04       26.0
2014 01 03 05       22.1
2014 01 03 06       23.3
2014 01 03 07       22.1
2014 01 03 08       25.0
2014 01 03 09       24.6
2014 01 03 10       22.0
2014 01 03 11       21.9
2014 01 03 12       24.3
2014 01 03 13       26.3
2014 01 03 14       25.5
2014 01 03 15       24.5
2014 01 03 16       22.3
2014 01 03 17       21.4
2014 01 03 18       28.6
2014 01 03 19       28.7
2014 01 03 20       24.1
2014 01 03 21       22.2
2014 01 03 22    -9999.0
2014 01 03 23    -9999.0
2014 01 04 00    -9999.0
2014 01 04 01    -9999.0
2014 01 04 02    -9999.0
2014 01 04 03    -9999.0
2014 01 04 04    -9999.0
2014 01 04 05    -9999.0
2014 01 04 06    -9999.0
2014 01 04 07    -9999.0
2014 01 04 08    -9999.0
2014 01 04 09    -9999.0
2014 01 04 10    -9999.0
2014 01 04 11    -9999.0
2014 01 04 12    -9999.0
2014 01 04 13    -9999.0
2014 01 04 14    -9999.0
2014 01 04 15    -9999.0
2014 01 04 16    -9999.0
2014 01 04 17    -9999.0
2014 01 04 18    -9999.0
2014 01 04 19    -9999.0
2014 01 04 20    -9999.0
2014 01 04 21    -9999.0
2014 01 04 22    -9999.0
2014 01 04 23    -9999.0
2014 01 05 00    -9999.0
2014 01 05 01    -9999.0
2014 01 05 02    -9999.0
2014 01 05 03    -9999.0
2014 01 05 04    -9999.0
2014 01 05 05    -9999.0
2014 01 05 06    -9999.0
2014 01 05 07    -9999.0
2014 01 05 08    -9999.0
2014 01 05 09    -9999.0
2014 01 05 10    -9999.0
2014 01 05 11    -9999.0
2014 01 05 12    -9999.0
2014 01 05 13    -9999.0
2014 01 05 14    -9999.0
2014 01 05 15    -9999.0
2014 01 05 16    -9999.0
2014 01 05 17    -9999.0
2014 01 05 18    -9999.0
2014 01 05 19    -9999.0
2014 01 05 20    -9999.0
2014 01 05 21    -9999.0
2014 01 05 22    -9999.0
2014 01 05 23    -9999.0
2014 01 06 00    -9999.0
2014 01 06 01    -9999.0
2014 01 06 02    -9999.0
2014 01 06 03    -9999.0
2014 01 06 04    -9999.0
2014 01 06 05    -9999.0
2014 01 06 06    -9999.0
2014 01 06 07    -9999.0
2014 01 06 08    -9999.0
2014 01 06 09    -9999.0
2014 01 06 10    -9999.0
2014 01 06 11    -9999.0
2014 01 06 12    -9999.0
2014 01 06 13    -9999.0
2014 01 06 14    -9999.0
2014 01 06 15    -9999.0
2014 01 06 16    -9999.0
2014 01 06 17    -9999.0
2014 01 06 18    -9999.0
2014 01 06 19    -9999.0
2014 01 06 20    -9999.0
2014 01 06 21    -9999.0
2014 01 06 22    -9999.0
2014 01 06 23    -9999.0
2014 01 07 00    -9999.0
2014 01 07 01    -9999.0
2014 01 07 02    -9999.0
2014 01 07 03    -9999.0
2014 01 07 04    -9999.0
2014 01 07 05    -9999.0
2014 01 07 06    -9999.0
2014 01 07 07    -9999.0
2014 01 07 08    -9999.0
2014 01 07 09    -9999.0
2014 01 07 10    -9999.0
2014 01 07 11       20.8
2014 01 07 12       22.4
2014 01 07 13       32.2
2014 01 07 14       36.7
2014 01 07 15       37.1
2014 01 07 16       41.0
2014 01 07 17       46.2
2014 01 07 18       37.2
2014 01 07 19       35.7
2014 01 07 20       35.0
2014 01 07 21       29.8
2014 01 07 22       27.6
2014 01 07 23       29.0
2014 01 08 00       24.0
2014 01 08 01       19.8
2014 01 08 02       23.3
2014 01 08 03       28.5
2014 01 08 04       28.3
2014 01 08 05       30.0
2014 01 08 06       29.5
2014 01 08 07       26.6
2014 01 08 08       29.2
2014 01 08 09       31.7
2014 01 08 10       33.2
2014 01 08 11       30.5
2014 01 08 12       24.5
2014 01 08 13       25.1
2014 01 08 14       24.5
2014 01 08 15       24.4
2014 01 08 16       26.6
2014 01 08 17       32.0
2014 01 08 18       37.8
2014 01 08 19       41.1
2014 01 08 20       39.3
2014 01 08 21       36.9
2014 01 08 22       28.4
2014 01 08 23       24.6
2014 01 09 00       24.8
2014 01 09 01       27.5
2014 01 09 02       33.3
2014 01 09 03       34.1
2014 01 09 04       29.6
2014 01 09 05       27.2
2014 01 09 06       29.9
2014 01 09 07       33.8
2014 01 09 08       33.4
2014 01 09 09       31.6
2014 01 09 10       32.3
2014 01 09 11       32.4
2014 01 09 12       30.5
2014 01 09 13       29.4
2014 01 09 14       27.7
2014 01 09 15       26.4
2014 01 09 16       22.5
2014 01 09 17       30.0
2014 01 09 18       39.9
2014 01 09 19       34.2
2014 01 09 20       32.3
2014 01 09 21       29.1
2014 01 09 22       26.4
2014 01 09 23       19.9
2014 01 10 00       21.9
2014 01 10 01       22.4
2014 01 10 02       26.6
2014 01 10 03       32.5
2014 01 10 04       31.2
2014 01 10 05       28.9
2014 01 10 06       23.9
2014 01 10 07       24.0
2014 01 10 08       24.9
2014 01 10 09       22.0
2014 01 10 10       22.6
2014 01 10 11       26.9
2014 01 10 12       28.9
2014 01 10 13       28.3
2014 01 10 14       29.0
2014 01 10 15       23.0
2014 01 10 16       23.0
2014 01 10 17       36.1
2014 01 10 18       38.8
2014 01 10 19       42.7
2014 01 10 20       41.4
2014 01 10 21       40.3
2014 01 10 22       38.4
2014 01 10 23       37.5
2014 01 11 00       36.7
2014 01 11 01       35.7
2014 01 11 02       34.8
2014 01 11 03       29.7
2014 01 11 04       29.5
2014 01 11 05       27.2
2014 01 11 06       27.9
2014 01 11 07       28.3
2014 01 11 08       27.6
2014 01 11 09       29.9
2014 01 11 10       32.4
2014 01 11 11       34.2
2014 01 11 12       36.6
2014 01 11 13       38.6
2014 01 11 14       39.5
2014 01 11 15       41.3
2014 01 11 16       39.8
2014 01 11 17       36.3
2014 01 11 18       32.4
2014 01 11 19       28.5
2014 01 11 20       25.1
2014 01 11 21       26.7
2014 01 11 22       26.7
2014 01 11 23       27.6
2014 01 12 00       28.6
2014 01 12 01       30.4
2014 01 12 02       31.9
2014 01 12 03       29.9
2014 01 12 04       28.5
2014 01 12 05       29.2
2014 01 12 06       29.2
2014 01 12 07       27.3
2014 01 12 08       26.0
2014 01 12 09       22.2
2014 01 12 10       19.7
2014 01 12 11       18.3
2014 01 12 12       18.9
2014 01 12 13       17.6
2014 01 12 14       19.3
2014 01 12 15       24.5
2014 01 12 16       30.9
2014 01 12 17       32.0
2014 01 12 18       34.5
2014 01 12 19       33.7
2014 01 12 20       32.3
2014 01 12 21       37.7
2014 01 12 22       42.0
2014 01 12 23       41.0
2014 01 13 00       37.6
2014 01 13 01       34.6
2014 01 13 02       28.6
2014 01 13 03       21.0
2014 01 13 04       18.9
2014 01 13 05       19.0
2014 01 13 06       20.7
2014 01 13 07       21.1
2014 01 13 08       25.6
2014 01 13 09       27.1
2014 01 13 10       24.7
2014 01 13 11       23.8
2014 01 13 12       22.2
2014 01 13 13       21.7
2014 01 13 14       21.1
2014 01 13 15       21.3
2014 01 13 16       23.7
2014 01 13 17       22.0
2014 01 13 18       23.7
2014 01 13 19       23.6
2014 01 13 20       25.2
2014 01 13 21       22.5
2014 01 13 22       24.3
2014 01 13 23       22.0
2014 01 14 00       20.6
2014 01 14 01       23.4
2014 01 14 02       21.7
2014 01 14 03       38.4
2014 01 14 04       40.7
2014 01 14 05       33.8
2014 01 14 06       26.4
2014 01 14 07       26.7
2014 01 14 08       23.7
2014 01 14 09       24.8
2014 01 14 10       23.1
2014 01 14 11       17.8
2014 01 14 12       21.1
2014 01 14 13       27.2
2014 01 14 14       27.1
2014 01 14 15       27.4
2014 01 14 16       29.1
2014 01 14 17       30.9
2014 01 14 18       32.2
2014 01 14 19       32.1
2014 01 14 20       32.9
2014 01 14 21       31.6
2014 01 14 22       31.0
2014 01 14 23       25.1
2014 01 15 00       25.5
2014 01 15 01       21.7
2014 01 15 02       24.1
2014 01 15 03       24.9
2014 01 15 04       24.6
2014 01 15 05       23.0
2014 01 15 06       21.9
2014 01 15 07       18.4
2014 01 15 08       18.7
2014 01 15 09       15.4
2014 01 15 10       14.1
2014 01 15 11       15.8
2014 01 15 12       16.7
2014 01 15 13       18.3
2014 01 15 14       19.6
2014 01 15 15       20.6
2014 01 15 16       20.9
2014 01 15 17       20.9
2014 01 15 18       25.4
2014 01 15 19       34.6
2014 01 15 20       32.4
2014 01 15 21       28.8
2014 01 15 22       25.4
2014 01 15 23       23.4
2014 01 16 00       22.6
2014 01 16 01       22.7
2014 01 16 02       24.8
2014 01 16 03       24.5
2014 01 16 04       26.5
2014 01 16 05       26.5
2014 01 16 06       24.2
2014 01 16 07       22.2
2014 01 16 08       26.4
2014 01 16 09       28.0
2014 01 16 10       27.3
2014 01 16 11       23.1
2014 01 16 12       21.7
2014 01 16 13       20.6
2014 01 16 14       21.0
2014 01 16 15       22.6
2014 01 16 16       24.5
2014 01 16 17       25.6
2014 01 16 18       25.7
2014 01 16 19       26.2
2014 01 16 20       28.7
2014 01 16 21       32.3
2014 01 16 22       33.0
2014 01 16 23       26.3
2014 01 17 00       21.0
2014 01 17 01       25.8
2014 01 17 02       30.8
2014 01 17 03       26.2
2014 01 17 04       27.5
2014 01 17 05       35.3
2014 01 17 06       35.1
2014 01 17 07       30.3
2014 01 17 08       30.7
2014 01 17 09       28.4
2014 01 17 10       27.0
2014 01 17 11       23.9
2014 01 17 12       25.5
2014 01 17 13       30.0
2014 01 17 14       31.5
2014 01 17 15       33.7
2014 01 17 16       34.4
2014 01 17 17       34.4
2014 01 17 18       34.6
2014 01 17 19       34.3
2014 01 17 20       34.7
2014 01 17 21       34.4
2014 01 17 22       34.5
2014 01 17 23       35.4
2014 01 18 00       35.4
2014 01 18 01       34.8
2014 01 18 02       35.2
2014 01 18 03       35.0
2014 01 18 04       34.0
2014 01 18 05       33.4
2014 01 18 06       33.2
2014 01 18 07       32.3
2014 01 18 08       32.7
2014 01 18 09       32.0
2014 01 18 10       30.5
2014 01 18 11       29.7
2014 01 18 12       30.1
2014 01 18 13       30.6
2014 01 18 14       31.4
2014 01 18 15       31.8
