med.orarie NO2 [ug/m3] staz.** PARCO EDILCARANI

aaaa mm gg hh        NO2
2014 01 01 01       14.0
2014 01 01 02       16.0
2014 01 01 03       14.0
2014 01 01 04       11.0
2014 01 01 05       11.0
2014 01 01 06       10.0
2014 01 01 07       12.0
2014 01 01 08       13.0
2014 01 01 09       14.0
2014 01 01 10       13.0
2014 01 01 11       11.0
2014 01 01 12       11.0
2014 01 01 13       16.0
2014 01 01 14       15.0
2014 01 01 15       15.0
2014 01 01 16       19.0
2014 01 01 17       25.0
2014 01 01 18       49.0
2014 01 01 19       48.0
2014 01 01 20       48.0
2014 01 01 21       47.0
2014 01 01 22       42.0
2014 01 01 23       38.0
2014 01 02 00       34.0
2014 01 02 01       29.0
2014 01 02 02       25.0
2014 01 02 03       21.0
2014 01 02 04       24.0
2014 01 02 05       23.0
2014 01 02 06       24.0
2014 01 02 07       24.0
2014 01 02 08       25.0
2014 01 02 09       26.0
2014 01 02 10       31.0
2014 01 02 11       32.0
2014 01 02 12       33.0
2014 01 02 13       30.0
2014 01 02 14       27.0
2014 01 02 15       28.0
2014 01 02 16       35.0
2014 01 02 17       41.0
2014 01 02 18       43.0
2014 01 02 19       44.0
2014 01 02 20       45.0
2014 01 02 21       43.0
2014 01 02 22       43.0
2014 01 02 23       39.0
2014 01 03 00       33.0
2014 01 03 01       28.0
2014 01 03 02       26.0
2014 01 03 03       26.0
2014 01 03 04       27.0
2014 01 03 05       24.0
2014 01 03 06       22.0
2014 01 03 07       24.0
2014 01 03 08       28.0
2014 01 03 09       29.0
2014 01 03 10       25.0
2014 01 03 11       20.0
2014 01 03 12       18.0
2014 01 03 13       18.0
2014 01 03 14       17.0
2014 01 03 15       18.0
2014 01 03 16       24.0
2014 01 03 17       32.0
2014 01 03 18       41.0
2014 01 03 19       40.0
2014 01 03 20       36.0
2014 01 03 21       35.0
2014 01 03 22       36.0
2014 01 03 23       33.0
2014 01 04 00       29.0
2014 01 04 01       31.0
2014 01 04 02       30.0
2014 01 04 03       25.0
2014 01 04 04       27.0
2014 01 04 05       29.0
2014 01 04 06       28.0
2014 01 04 07       29.0
2014 01 04 08       31.0
2014 01 04 09       32.0
2014 01 04 10       30.0
2014 01 04 11       30.0
2014 01 04 12       33.0
2014 01 04 13       34.0
2014 01 04 14       33.0
2014 01 04 15       32.0
2014 01 04 16       31.0
2014 01 04 17       33.0
2014 01 04 18       32.0
2014 01 04 19       33.0
2014 01 04 20       34.0
2014 01 04 21       36.0
2014 01 04 22       30.0
2014 01 04 23       31.0
2014 01 05 00       32.0
2014 01 05 01       32.0
2014 01 05 02       29.0
2014 01 05 03       30.0
2014 01 05 04       29.0
2014 01 05 05       28.0
2014 01 05 06       28.0
2014 01 05 07       28.0
2014 01 05 08       28.0
2014 01 05 09       29.0
2014 01 05 10       30.0
2014 01 05 11       29.0
2014 01 05 12       29.0
2014 01 05 13       30.0
2014 01 05 14       29.0
2014 01 05 15       27.0
2014 01 05 16       27.0
2014 01 05 17       29.0
2014 01 05 18       30.0
2014 01 05 19       33.0
2014 01 05 20       33.0
2014 01 05 21       34.0
2014 01 05 22       31.0
2014 01 05 23       20.0
2014 01 06 00       20.0
2014 01 06 01       16.0
2014 01 06 02       22.0
2014 01 06 03       24.0
2014 01 06 04       20.0
2014 01 06 05       14.0
2014 01 06 06       16.0
2014 01 06 07       15.0
2014 01 06 08       16.0
2014 01 06 09       17.0
2014 01 06 10       17.0
2014 01 06 11       18.0
2014 01 06 12       12.0
2014 01 06 13        8.0
2014 01 06 14        5.0
2014 01 06 15        9.0
2014 01 06 16       13.0
2014 01 06 17       22.0
2014 01 06 18       34.0
2014 01 06 19       48.0
2014 01 06 20       50.0
2014 01 06 21       35.0
2014 01 06 22       27.0
2014 01 06 23       19.0
2014 01 07 00       17.0
2014 01 07 01       13.0
2014 01 07 02        9.0
2014 01 07 03       10.0
2014 01 07 04        9.0
2014 01 07 05       10.0
2014 01 07 06        8.0
2014 01 07 07       14.0
2014 01 07 08       22.0
2014 01 07 09       33.0
2014 01 07 10       25.0
2014 01 07 11       22.0
2014 01 07 12       13.0
2014 01 07 13       25.0
2014 01 07 14       28.0
2014 01 07 15       33.0
2014 01 07 16       35.0
2014 01 07 17       56.0
2014 01 07 18       69.0
2014 01 07 19       68.0
2014 01 07 20       48.0
2014 01 07 21       35.0
2014 01 07 22       26.0
2014 01 07 23       18.0
2014 01 08 00       15.0
2014 01 08 01       13.0
2014 01 08 02       12.0
2014 01 08 03       12.0
2014 01 08 04       12.0
2014 01 08 05       11.0
2014 01 08 06       13.0
2014 01 08 07       19.0
2014 01 08 08       22.0
2014 01 08 09       32.0
2014 01 08 10       29.0
2014 01 08 11       19.0
2014 01 08 12       20.0
2014 01 08 13       31.0
2014 01 08 14       37.0
2014 01 08 15       37.0
2014 01 08 16       47.0
2014 01 08 17       55.0
2014 01 08 18       64.0
2014 01 08 19       68.0
2014 01 08 20       70.0
2014 01 08 21       55.0
2014 01 08 22       40.0
