med.orarie NO2 [ug/m3] staz.** CORTE BRUGNATELLA

aaaa mm gg hh        NO2
2014 01 01 01        2.0
2014 01 01 02        1.0
2014 01 01 03    -9999.0
2014 01 01 04        3.0
2014 01 01 05        1.0
2014 01 01 06        1.0
2014 01 01 07        1.0
2014 01 01 08        2.0
2014 01 01 09        3.0
2014 01 01 10        3.0
2014 01 01 11        2.0
2014 01 01 12        2.0
2014 01 01 13        2.0
2014 01 01 14        2.0
2014 01 01 15        2.0
2014 01 01 16        3.0
2014 01 01 17        3.0
2014 01 01 18        3.0
2014 01 01 19        4.0
2014 01 01 20        5.0
2014 01 01 21        5.0
2014 01 01 22        4.0
2014 01 01 23        4.0
2014 01 02 00        3.0
2014 01 02 01        4.0
2014 01 02 02        5.0
2014 01 02 03    -9999.0
2014 01 02 04        9.0
2014 01 02 05        8.0
2014 01 02 06        7.0
2014 01 02 07        7.0
2014 01 02 08        8.0
2014 01 02 09       11.0
2014 01 02 10       13.0
2014 01 02 11       13.0
2014 01 02 12       13.0
2014 01 02 13       13.0
2014 01 02 14       13.0
2014 01 02 15       13.0
2014 01 02 16       13.0
2014 01 02 17       14.0
2014 01 02 18       14.0
2014 01 02 19       13.0
2014 01 02 20       12.0
2014 01 02 21       11.0
2014 01 02 22       12.0
2014 01 02 23       12.0
2014 01 03 00       12.0
2014 01 03 01       12.0
2014 01 03 02       12.0
2014 01 03 03    -9999.0
2014 01 03 04       11.0
2014 01 03 05       10.0
2014 01 03 06       10.0
2014 01 03 07       12.0
2014 01 03 08       10.0
2014 01 03 09        9.0
2014 01 03 10        7.0
2014 01 03 11        7.0
2014 01 03 12        7.0
2014 01 03 13        7.0
2014 01 03 14        6.0
2014 01 03 15        6.0
2014 01 03 16        6.0
2014 01 03 17        6.0
2014 01 03 18        7.0
2014 01 03 19        6.0
2014 01 03 20        7.0
2014 01 03 21        7.0
2014 01 03 22        8.0
2014 01 03 23        6.0
2014 01 04 00        6.0
2014 01 04 01        6.0
2014 01 04 02        6.0
2014 01 04 03    -9999.0
2014 01 04 04        7.0
2014 01 04 05        5.0
2014 01 04 06        4.0
2014 01 04 07        4.0
2014 01 04 08        4.0
2014 01 04 09        3.0
2014 01 04 10        3.0
2014 01 04 11        3.0
2014 01 04 12        3.0
2014 01 04 13        3.0
2014 01 04 14        4.0
2014 01 04 15        5.0
2014 01 04 16        7.0
2014 01 04 17       10.0
2014 01 04 18       14.0
2014 01 04 19       18.0
2014 01 04 20       21.0
2014 01 04 21       21.0
2014 01 04 22       20.0
2014 01 04 23       17.0
2014 01 05 00       16.0
2014 01 05 01       15.0
2014 01 05 02       13.0
2014 01 05 03    -9999.0
2014 01 05 04       14.0
2014 01 05 05       14.0
2014 01 05 06       16.0
2014 01 05 07       17.0
2014 01 05 08       18.0
2014 01 05 09       19.0
2014 01 05 10       19.0
2014 01 05 11       17.0
2014 01 05 12       19.0
2014 01 05 13       19.0
