med.orarie NO2 [ug/m3] staz.** PARCO RESISTENZA

aaaa mm gg hh        NO2
2014 01 01 01       19.0
2014 01 01 02       18.0
2014 01 01 03       16.0
2014 01 01 04    -9999.0
2014 01 01 05       15.0
2014 01 01 06       14.0
2014 01 01 07       15.0
2014 01 01 08       17.0
2014 01 01 09       14.0
2014 01 01 10       14.0
2014 01 01 11       14.0
2014 01 01 12        8.0
2014 01 01 13       10.0
2014 01 01 14        9.0
2014 01 01 15       11.0
2014 01 01 16       12.0
2014 01 01 17       17.0
2014 01 01 18       39.0
2014 01 01 19       41.0
2014 01 01 20       32.0
2014 01 01 21       27.0
2014 01 01 22       25.0
2014 01 01 23       23.0
2014 01 02 00       21.0
2014 01 02 01       17.0
2014 01 02 02       11.0
2014 01 02 03       11.0
2014 01 02 04    -9999.0
2014 01 02 05       13.0
2014 01 02 06       19.0
2014 01 02 07       21.0
2014 01 02 08       23.0
2014 01 02 09       27.0
2014 01 02 10       25.0
2014 01 02 11       25.0
2014 01 02 12       27.0
2014 01 02 13       28.0
2014 01 02 14       28.0
2014 01 02 15       26.0
2014 01 02 16       26.0
2014 01 02 17       29.0
2014 01 02 18       30.0
2014 01 02 19       29.0
2014 01 02 20       29.0
2014 01 02 21       30.0
2014 01 02 22       26.0
2014 01 02 23       27.0
2014 01 03 00       27.0
2014 01 03 01       27.0
2014 01 03 02       27.0
2014 01 03 03       26.0
2014 01 03 04    -9999.0
2014 01 03 05       24.0
2014 01 03 06       23.0
2014 01 03 07       23.0
2014 01 03 08       22.0
2014 01 03 09       22.0
2014 01 03 10       21.0
2014 01 03 11       21.0
2014 01 03 12       20.0
2014 01 03 13       20.0
2014 01 03 14       19.0
2014 01 03 15       20.0
2014 01 03 16       20.0
2014 01 03 17       24.0
2014 01 03 18       27.0
2014 01 03 19       26.0
2014 01 03 20       27.0
2014 01 03 21       26.0
2014 01 03 22       25.0
2014 01 03 23       23.0
2014 01 04 00       27.0
2014 01 04 01       28.0
2014 01 04 02       26.0
2014 01 04 03       27.0
2014 01 04 04    -9999.0
2014 01 04 05       24.0
2014 01 04 06       24.0
2014 01 04 07       23.0
2014 01 04 08       23.0
2014 01 04 09       24.0
2014 01 04 10       23.0
2014 01 04 11       23.0
2014 01 04 12       23.0
2014 01 04 13       25.0
2014 01 04 14       27.0
2014 01 04 15       27.0
2014 01 04 16       27.0
2014 01 04 17       31.0
2014 01 04 18       35.0
2014 01 04 19       29.0
2014 01 04 20       17.0
2014 01 04 21       11.0
2014 01 04 22       12.0
2014 01 04 23       23.0
2014 01 05 00       10.0
2014 01 05 01       17.0
2014 01 05 02       21.0
2014 01 05 03       20.0
2014 01 05 04    -9999.0
2014 01 05 05       19.0
2014 01 05 06       19.0
2014 01 05 07       20.0
2014 01 05 08       19.0
2014 01 05 09       20.0
2014 01 05 10       19.0
2014 01 05 11       21.0
2014 01 05 12       21.0
2014 01 05 13       27.0
2014 01 05 14       18.0
2014 01 05 15       20.0
2014 01 05 16       22.0
2014 01 05 17       23.0
2014 01 05 18       24.0
2014 01 05 19       23.0
2014 01 05 20       23.0
2014 01 05 21       24.0
2014 01 05 22       22.0
2014 01 05 23       22.0
2014 01 06 00       20.0
2014 01 06 01       19.0
2014 01 06 02       17.0
2014 01 06 03       15.0
2014 01 06 04    -9999.0
2014 01 06 05       14.0
2014 01 06 06       13.0
2014 01 06 07       13.0
2014 01 06 08       18.0
2014 01 06 09       20.0
2014 01 06 10       19.0
2014 01 06 11       19.0
2014 01 06 12       20.0
2014 01 06 13        8.0
2014 01 06 14        6.0
2014 01 06 15        7.0
2014 01 06 16       13.0
2014 01 06 17       16.0
2014 01 06 18       28.0
2014 01 06 19       40.0
2014 01 06 20       34.0
2014 01 06 21       29.0
2014 01 06 22       22.0
2014 01 06 23       21.0
2014 01 07 00       18.0
2014 01 07 01       17.0
2014 01 07 02       16.0
2014 01 07 03       11.0
2014 01 07 04    -9999.0
2014 01 07 05       12.0
2014 01 07 06       13.0
2014 01 07 07       18.0
2014 01 07 08       21.0
2014 01 07 09       25.0
2014 01 07 10       26.0
2014 01 07 11       24.0
2014 01 07 12       20.0
2014 01 07 13       16.0
2014 01 07 14       22.0
2014 01 07 15       28.0
2014 01 07 16       31.0
2014 01 07 17       32.0
2014 01 07 18       42.0
2014 01 07 19       34.0
2014 01 07 20       34.0
2014 01 07 21       28.0
2014 01 07 22       26.0
2014 01 07 23       18.0
2014 01 08 00       15.0
2014 01 08 01       13.0
2014 01 08 02       14.0
2014 01 08 03       16.0
2014 01 08 04    -9999.0
2014 01 08 05       15.0
2014 01 08 06       15.0
2014 01 08 07       17.0
2014 01 08 08       23.0
2014 01 08 09       38.0
2014 01 08 10       37.0
2014 01 08 11       28.0
2014 01 08 12       33.0
2014 01 08 13       28.0
2014 01 08 14       27.0
2014 01 08 15       33.0
2014 01 08 16       39.0
2014 01 08 17       46.0
2014 01 08 18       48.0
2014 01 08 19       56.0
2014 01 08 20       39.0
2014 01 08 21       34.0
2014 01 08 22       28.0
2014 01 08 23       22.0
2014 01 09 00       21.0
2014 01 09 01       22.0
2014 01 09 02       19.0
2014 01 09 03       17.0
2014 01 09 04    -9999.0
2014 01 09 05       16.0
2014 01 09 06       16.0
2014 01 09 07       16.0
2014 01 09 08       20.0
2014 01 09 09       25.0
2014 01 09 10       26.0
2014 01 09 11       28.0
2014 01 09 12       27.0
2014 01 09 13       33.0
2014 01 09 14       29.0
2014 01 09 15       25.0
2014 01 09 16       26.0
2014 01 09 17       29.0
2014 01 09 18       32.0
2014 01 09 19       31.0
2014 01 09 20       30.0
2014 01 09 21       29.0
2014 01 09 22       29.0
2014 01 09 23       23.0
2014 01 10 00       21.0
2014 01 10 01       21.0
2014 01 10 02       20.0
2014 01 10 03       19.0
2014 01 10 04    -9999.0
2014 01 10 05       17.0
2014 01 10 06       20.0
2014 01 10 07       22.0
2014 01 10 08       25.0
2014 01 10 09       27.0
