med.orarie NO2 [ug/m3] staz.** SAN PIETRO CAPOFIUME

aaaa mm gg hh        NO2
2014 01 01 01       30.0
2014 01 01 02    -9999.0
2014 01 01 03       20.0
2014 01 01 04       20.0
2014 01 01 05       19.0
2014 01 01 06       17.0
2014 01 01 07       18.0
2014 01 01 08       16.0
2014 01 01 09       12.0
2014 01 01 10       10.0
2014 01 01 11        9.0
2014 01 01 12       10.0
2014 01 01 13       13.0
2014 01 01 14       16.0
2014 01 01 15       17.0
2014 01 01 16       18.0
2014 01 01 17       19.0
2014 01 01 18       18.0
2014 01 01 19       24.0
2014 01 01 20       27.0
2014 01 01 21       24.0
2014 01 01 22       16.0
2014 01 01 23       25.0
2014 01 02 00       25.0
2014 01 02 01       21.0
2014 01 02 02    -9999.0
2014 01 02 03       21.0
2014 01 02 04       19.0
2014 01 02 05       14.0
2014 01 02 06       15.0
2014 01 02 07       17.0
2014 01 02 08       16.0
2014 01 02 09       16.0
2014 01 02 10       16.0
2014 01 02 11       22.0
2014 01 02 12       23.0
2014 01 02 13       22.0
2014 01 02 14       21.0
2014 01 02 15       22.0
2014 01 02 16       24.0
2014 01 02 17       32.0
2014 01 02 18       34.0
2014 01 02 19       28.0
2014 01 02 20       27.0
2014 01 02 21       28.0
2014 01 02 22       27.0
2014 01 02 23       26.0
2014 01 03 00       26.0
2014 01 03 01       29.0
2014 01 03 02    -9999.0
2014 01 03 03       31.0
2014 01 03 04       30.0
2014 01 03 05       31.0
2014 01 03 06       31.0
2014 01 03 07       31.0
2014 01 03 08       29.0
2014 01 03 09       23.0
2014 01 03 10       18.0
2014 01 03 11       17.0
2014 01 03 12       17.0
2014 01 03 13       17.0
2014 01 03 14       17.0
2014 01 03 15       22.0
2014 01 03 16       26.0
2014 01 03 17       30.0
2014 01 03 18       30.0
2014 01 03 19       30.0
2014 01 03 20       29.0
2014 01 03 21       30.0
2014 01 03 22       25.0
2014 01 03 23       25.0
2014 01 04 00       27.0
2014 01 04 01       22.0
2014 01 04 02    -9999.0
2014 01 04 03       25.0
2014 01 04 04       22.0
2014 01 04 05       22.0
2014 01 04 06       22.0
2014 01 04 07       22.0
2014 01 04 08       23.0
2014 01 04 09       22.0
2014 01 04 10       20.0
2014 01 04 11       21.0
2014 01 04 12       18.0
2014 01 04 13       14.0
2014 01 04 14       14.0
2014 01 04 15       15.0
2014 01 04 16       18.0
2014 01 04 17       26.0
2014 01 04 18       22.0
2014 01 04 19       25.0
2014 01 04 20       22.0
2014 01 04 21       20.0
2014 01 04 22       16.0
2014 01 04 23       22.0
2014 01 05 00       24.0
2014 01 05 01       23.0
2014 01 05 02    -9999.0
2014 01 05 03       24.0
2014 01 05 04       22.0
2014 01 05 05       23.0
2014 01 05 06       23.0
2014 01 05 07       23.0
2014 01 05 08       21.0
2014 01 05 09       20.0
2014 01 05 10       19.0
2014 01 05 11       17.0
2014 01 05 12       20.0
2014 01 05 13       24.0
2014 01 05 14       23.0
2014 01 05 15       21.0
2014 01 05 16       20.0
2014 01 05 17       25.0
2014 01 05 18       27.0
2014 01 05 19       26.0
2014 01 05 20       24.0
2014 01 05 21       19.0
2014 01 05 22       16.0
2014 01 05 23       15.0
2014 01 06 00       17.0
2014 01 06 01       18.0
2014 01 06 02    -9999.0
2014 01 06 03       17.0
2014 01 06 04       13.0
2014 01 06 05       13.0
2014 01 06 06       11.0
2014 01 06 07        9.0
2014 01 06 08       11.0
2014 01 06 09       10.0
2014 01 06 10        8.0
2014 01 06 11       10.0
2014 01 06 12        9.0
2014 01 06 13        8.0
2014 01 06 14        9.0
2014 01 06 15        7.0
2014 01 06 16        8.0
2014 01 06 17        9.0
2014 01 06 18       16.0
2014 01 06 19       17.0
2014 01 06 20       12.0
2014 01 06 21       12.0
2014 01 06 22       11.0
2014 01 06 23       12.0
2014 01 07 00       15.0
2014 01 07 01       22.0
2014 01 07 02    -9999.0
2014 01 07 03       22.0
2014 01 07 04       22.0
2014 01 07 05       22.0
2014 01 07 06       20.0
2014 01 07 07       21.0
2014 01 07 08       17.0
2014 01 07 09       17.0
2014 01 07 10       17.0
2014 01 07 11       20.0
2014 01 07 12    -9999.0
2014 01 07 13       34.0
2014 01 07 14       34.0
2014 01 07 15       29.0
2014 01 07 16       32.0
2014 01 07 17       36.0
2014 01 07 18       37.0
2014 01 07 19       38.0
2014 01 07 20       36.0
2014 01 07 21       30.0
2014 01 07 22       25.0
2014 01 07 23       20.0
2014 01 08 00       23.0
2014 01 08 01       21.0
2014 01 08 02    -9999.0
2014 01 08 03       21.0
2014 01 08 04       24.0
2014 01 08 05       27.0
2014 01 08 06       29.0
2014 01 08 07       25.0
2014 01 08 08       27.0
2014 01 08 09       28.0
2014 01 08 10       31.0
2014 01 08 11       38.0
2014 01 08 12       28.0
2014 01 08 13       32.0
2014 01 08 14       40.0
2014 01 08 15       41.0
2014 01 08 16       43.0
2014 01 08 17       41.0
2014 01 08 18       46.0
2014 01 08 19       45.0
2014 01 08 20       41.0
2014 01 08 21       30.0
2014 01 08 22       25.0
2014 01 08 23       25.0
2014 01 09 00       23.0
2014 01 09 01       24.0
2014 01 09 02    -9999.0
2014 01 09 03       36.0
2014 01 09 04       48.0
2014 01 09 05       38.0
2014 01 09 06       30.0
2014 01 09 07       30.0
2014 01 09 08       27.0
2014 01 09 09       27.0
2014 01 09 10       25.0
2014 01 09 11       26.0
2014 01 09 12       39.0
2014 01 09 13       44.0
2014 01 09 14       39.0
2014 01 09 15       42.0
2014 01 09 16       45.0
2014 01 09 17       46.0
2014 01 09 18       48.0
2014 01 09 19       51.0
2014 01 09 20       37.0
2014 01 09 21       29.0
2014 01 09 22       30.0
2014 01 09 23       30.0
2014 01 10 00       31.0
2014 01 10 01       30.0
2014 01 10 02    -9999.0
2014 01 10 03       30.0
2014 01 10 04       27.0
2014 01 10 05       26.0
2014 01 10 06       28.0
2014 01 10 07       29.0
2014 01 10 08       31.0
2014 01 10 09       24.0
2014 01 10 10       29.0
2014 01 10 11       38.0
2014 01 10 12       36.0
2014 01 10 13       30.0
2014 01 10 14       31.0
2014 01 10 15       34.0
2014 01 10 16       37.0
2014 01 10 17       38.0
2014 01 10 18       41.0
2014 01 10 19       39.0
2014 01 10 20       38.0
2014 01 10 21       40.0
2014 01 10 22       43.0
2014 01 10 23       38.0
2014 01 11 00       33.0
2014 01 11 01       32.0
2014 01 11 02    -9999.0
2014 01 11 03       29.0
2014 01 11 04       29.0
2014 01 11 05       30.0
2014 01 11 06       29.0
2014 01 11 07       25.0
2014 01 11 08       23.0
2014 01 11 09       21.0
2014 01 11 10       25.0
2014 01 11 11       29.0
2014 01 11 12       30.0
2014 01 11 13       32.0
2014 01 11 14       34.0
2014 01 11 15       38.0
2014 01 11 16       42.0
2014 01 11 17       42.0
2014 01 11 18       44.0
2014 01 11 19       45.0
2014 01 11 20       47.0
2014 01 11 21       48.0
2014 01 11 22       47.0
2014 01 11 23       42.0
2014 01 12 00       45.0
2014 01 12 01       41.0
2014 01 12 02    -9999.0
2014 01 12 03       36.0
2014 01 12 04       32.0
2014 01 12 05       31.0
2014 01 12 06       28.0
2014 01 12 07       24.0
2014 01 12 08       32.0
2014 01 12 09       30.0
2014 01 12 10       26.0
2014 01 12 11       27.0
2014 01 12 12       25.0
2014 01 12 13       20.0
2014 01 12 14       18.0
2014 01 12 15       21.0
2014 01 12 16       23.0
2014 01 12 17       22.0
2014 01 12 18       21.0
2014 01 12 19       20.0
2014 01 12 20       19.0
2014 01 12 21       29.0
2014 01 12 22       32.0
2014 01 12 23       39.0
2014 01 13 00       49.0
2014 01 13 01       44.0
2014 01 13 02    -9999.0
