med.orarie NO2 [ug/m3] staz.** GHERARDI

aaaa mm gg hh        NO2
2014 01 01 01       50.0
2014 01 01 02       48.0
2014 01 01 03    -9999.0
2014 01 01 04       52.0
2014 01 01 05       48.0
2014 01 01 06       43.0
2014 01 01 07       42.0
2014 01 01 08       44.0
2014 01 01 09       39.0
2014 01 01 10       31.0
2014 01 01 11       25.0
2014 01 01 12       23.0
2014 01 01 13       21.0
2014 01 01 14       28.0
2014 01 01 15       35.0
2014 01 01 16       32.0
2014 01 01 17       24.0
2014 01 01 18       33.0
2014 01 01 19    -9999.0
2014 01 01 20    -9999.0
2014 01 01 21    -9999.0
2014 01 01 22    -9999.0
2014 01 01 23    -9999.0
2014 01 02 00    -9999.0
2014 01 02 01       33.0
2014 01 02 02       42.0
2014 01 02 03    -9999.0
2014 01 02 04       24.0
2014 01 02 05       37.0
2014 01 02 06       24.0
2014 01 02 07       33.0
2014 01 02 08       29.0
2014 01 02 09       34.0
2014 01 02 10       36.0
2014 01 02 11       28.0
2014 01 02 12       33.0
2014 01 02 13       34.0
2014 01 02 14       44.0
2014 01 02 15       47.0
2014 01 02 16       47.0
2014 01 02 17       47.0
2014 01 02 18       45.0
2014 01 02 19       46.0
2014 01 02 20       45.0
2014 01 02 21       43.0
2014 01 02 22       32.0
2014 01 02 23       31.0
2014 01 03 00       42.0
2014 01 03 01       41.0
2014 01 03 02       29.0
2014 01 03 03    -9999.0
2014 01 03 04       48.0
2014 01 03 05       41.0
2014 01 03 06       38.0
2014 01 03 07       38.0
2014 01 03 08       47.0
2014 01 03 09       46.0
2014 01 03 10       35.0
2014 01 03 11       33.0
2014 01 03 12       33.0
2014 01 03 13       35.0
2014 01 03 14       36.0
2014 01 03 15       32.0
2014 01 03 16       35.0
2014 01 03 17       43.0
2014 01 03 18    -9999.0
2014 01 03 19    -9999.0
2014 01 03 20    -9999.0
2014 01 03 21    -9999.0
2014 01 03 22    -9999.0
2014 01 03 23    -9999.0
2014 01 04 00    -9999.0
2014 01 04 01    -9999.0
2014 01 04 02    -9999.0
2014 01 04 03    -9999.0
2014 01 04 04    -9999.0
2014 01 04 05    -9999.0
2014 01 04 06    -9999.0
2014 01 04 07    -9999.0
2014 01 04 08    -9999.0
2014 01 04 09    -9999.0
2014 01 04 10       28.0
2014 01 04 11       23.0
2014 01 04 12       25.0
2014 01 04 13       23.0
2014 01 04 14       21.0
2014 01 04 15       20.0
2014 01 04 16       28.0
2014 01 04 17       22.0
2014 01 04 18       15.0
2014 01 04 19       13.0
2014 01 04 20       16.0
2014 01 04 21       24.0
2014 01 04 22       39.0
2014 01 04 23       30.0
2014 01 05 00       35.0
2014 01 05 01       33.0
