med.orarie NO2 [ug/m3] staz.** OSTELLATO

aaaa mm gg hh        NO2
2014 01 01 01       28.0
2014 01 01 02       33.0
2014 01 01 03    -9999.0
2014 01 01 04       32.0
2014 01 01 05       29.0
2014 01 01 06       28.0
2014 01 01 07       26.0
2014 01 01 08       23.0
2014 01 01 09       20.0
2014 01 01 10       18.0
2014 01 01 11       22.0
2014 01 01 12       29.0
2014 01 01 13       31.0
2014 01 01 14       30.0
2014 01 01 15       26.0
2014 01 01 16       23.0
2014 01 01 17       23.0
2014 01 01 18       25.0
2014 01 01 19       25.0
2014 01 01 20       25.0
2014 01 01 21       25.0
2014 01 01 22       27.0
2014 01 01 23       28.0
2014 01 02 00       24.0
2014 01 02 01       32.0
2014 01 02 02       31.0
2014 01 02 03    -9999.0
2014 01 02 04       23.0
2014 01 02 05       24.0
2014 01 02 06       25.0
2014 01 02 07       21.0
2014 01 02 08       18.0
2014 01 02 09       29.0
2014 01 02 10       32.0
2014 01 02 11       26.0
2014 01 02 12       34.0
2014 01 02 13       39.0
2014 01 02 14       39.0
2014 01 02 15       41.0
2014 01 02 16       44.0
2014 01 02 17       46.0
2014 01 02 18       45.0
2014 01 02 19       45.0
2014 01 02 20       45.0
2014 01 02 21       43.0
2014 01 02 22       37.0
2014 01 02 23       31.0
2014 01 03 00       41.0
2014 01 03 01       38.0
2014 01 03 02       37.0
2014 01 03 03    -9999.0
2014 01 03 04       33.0
2014 01 03 05       33.0
2014 01 03 06       33.0
2014 01 03 07       34.0
2014 01 03 08       33.0
2014 01 03 09       31.0
2014 01 03 10       30.0
2014 01 03 11       27.0
2014 01 03 12       25.0
2014 01 03 13       26.0
2014 01 03 14       28.0
2014 01 03 15       27.0
2014 01 03 16       30.0
2014 01 03 17       32.0
2014 01 03 18       32.0
2014 01 03 19       32.0
2014 01 03 20       31.0
2014 01 03 21       32.0
2014 01 03 22       33.0
2014 01 03 23       31.0
2014 01 04 00       29.0
2014 01 04 01       26.0
2014 01 04 02       24.0
2014 01 04 03    -9999.0
2014 01 04 04       24.0
2014 01 04 05       23.0
2014 01 04 06       23.0
2014 01 04 07       24.0
2014 01 04 08       26.0
2014 01 04 09       24.0
2014 01 04 10       24.0
2014 01 04 11       23.0
2014 01 04 12       25.0
2014 01 04 13       24.0
2014 01 04 14       22.0
2014 01 04 15       23.0
2014 01 04 16       23.0
2014 01 04 17       19.0
2014 01 04 18       17.0
2014 01 04 19       14.0
2014 01 04 20       14.0
2014 01 04 21       14.0
2014 01 04 22       15.0
2014 01 04 23       24.0
2014 01 05 00       27.0
2014 01 05 01       28.0
2014 01 05 02       27.0
2014 01 05 03    -9999.0
2014 01 05 04       18.0
2014 01 05 05       17.0
2014 01 05 06       26.0
2014 01 05 07       26.0
2014 01 05 08       23.0
2014 01 05 09       17.0
2014 01 05 10       11.0
2014 01 05 11       14.0
2014 01 05 12       14.0
2014 01 05 13       23.0
2014 01 05 14       30.0
2014 01 05 15       30.0
2014 01 05 16       29.0
2014 01 05 17       31.0
2014 01 05 18       34.0
2014 01 05 19       35.0
