med.orarie NO2 [ug/m3] staz.** DELTA CERVIA

aaaa mm gg hh        NO2
2014 01 01 01       42.0
2014 01 01 02    -9999.0
2014 01 01 03       38.0
2014 01 01 04       33.0
2014 01 01 05       25.0
2014 01 01 06       23.0
2014 01 01 07       23.0
2014 01 01 08       19.0
2014 01 01 09       15.0
2014 01 01 10       10.0
2014 01 01 11       10.0
2014 01 01 12       11.0
2014 01 01 13       15.0
2014 01 01 14       17.0
2014 01 01 15       19.0
2014 01 01 16       23.0
2014 01 01 17       25.0
2014 01 01 18       25.0
2014 01 01 19       25.0
2014 01 01 20       27.0
2014 01 01 21       29.0
2014 01 01 22       29.0
2014 01 01 23       25.0
2014 01 02 00       23.0
2014 01 02 01       19.0
2014 01 02 02    -9999.0
2014 01 02 03       27.0
2014 01 02 04       27.0
2014 01 02 05       25.0
2014 01 02 06       23.0
2014 01 02 07       23.0
2014 01 02 08       25.0
2014 01 02 09       25.0
2014 01 02 10       29.0
2014 01 02 11       33.0
2014 01 02 12       33.0
2014 01 02 13       29.0
2014 01 02 14       33.0
2014 01 02 15       34.0
2014 01 02 16       33.0
2014 01 02 17       34.0
2014 01 02 18       36.0
2014 01 02 19       38.0
2014 01 02 20       38.0
2014 01 02 21       40.0
2014 01 02 22       38.0
2014 01 02 23       38.0
2014 01 03 00       40.0
2014 01 03 01       40.0
2014 01 03 02    -9999.0
2014 01 03 03       42.0
2014 01 03 04       42.0
2014 01 03 05       42.0
2014 01 03 06       40.0
2014 01 03 07       40.0
2014 01 03 08       36.0
2014 01 03 09       31.0
2014 01 03 10       29.0
2014 01 03 11       25.0
2014 01 03 12       23.0
2014 01 03 13       21.0
2014 01 03 14       19.0
2014 01 03 15       15.0
2014 01 03 16       19.0
2014 01 03 17       23.0
2014 01 03 18       27.0
2014 01 03 19       29.0
2014 01 03 20       27.0
2014 01 03 21       33.0
2014 01 03 22       33.0
2014 01 03 23       36.0
2014 01 04 00       38.0
2014 01 04 01       38.0
2014 01 04 02    -9999.0
2014 01 04 03       33.0
2014 01 04 04       29.0
2014 01 04 05       25.0
2014 01 04 06       19.0
2014 01 04 07       27.0
2014 01 04 08       29.0
2014 01 04 09       23.0
2014 01 04 10       29.0
2014 01 04 11       29.0
2014 01 04 12       25.0
2014 01 04 13       31.0
2014 01 04 14       29.0
2014 01 04 15       21.0
2014 01 04 16       21.0
2014 01 04 17       19.0
2014 01 04 18       11.0
2014 01 04 19       10.0
2014 01 04 20       10.0
2014 01 04 21        8.0
2014 01 04 22        6.0
2014 01 04 23        4.0
2014 01 05 00        2.0
2014 01 05 01        4.0
2014 01 05 02    -9999.0
2014 01 05 03       31.0
2014 01 05 04       31.0
2014 01 05 05       25.0
2014 01 05 06       15.0
2014 01 05 07        8.0
2014 01 05 08        2.0
2014 01 05 09        2.0
2014 01 05 10        4.0
2014 01 05 11       15.0
2014 01 05 12        6.0
2014 01 05 13        4.0
2014 01 05 14       11.0
2014 01 05 15       23.0
2014 01 05 16       29.0
2014 01 05 17       36.0
2014 01 05 18       36.0
2014 01 05 19       36.0
2014 01 05 20       38.0
2014 01 05 21       34.0
2014 01 05 22       34.0
2014 01 05 23       34.0
2014 01 06 00       34.0
2014 01 06 01       33.0
2014 01 06 02    -9999.0
2014 01 06 03       23.0
2014 01 06 04       21.0
2014 01 06 05       25.0
2014 01 06 06       19.0
2014 01 06 07       15.0
2014 01 06 08       10.0
2014 01 06 09       10.0
2014 01 06 10       10.0
2014 01 06 11       10.0
2014 01 06 12       11.0
2014 01 06 13       10.0
2014 01 06 14       10.0
2014 01 06 15       10.0
2014 01 06 16       10.0
2014 01 06 17       11.0
2014 01 06 18       17.0
2014 01 06 19       29.0
2014 01 06 20       25.0
2014 01 06 21       23.0
2014 01 06 22       23.0
2014 01 06 23       27.0
2014 01 07 00       27.0
2014 01 07 01       27.0
2014 01 07 02    -9999.0
2014 01 07 03       23.0
2014 01 07 04       23.0
2014 01 07 05       23.0
2014 01 07 06       23.0
2014 01 07 07       17.0
2014 01 07 08       13.0
2014 01 07 09       23.0
2014 01 07 10       21.0
2014 01 07 11       27.0
2014 01 07 12       34.0
2014 01 07 13       25.0
2014 01 07 14       21.0
2014 01 07 15       23.0
2014 01 07 16       34.0
2014 01 07 17       34.0
2014 01 07 18       29.0
2014 01 07 19       23.0
2014 01 07 20       19.0
2014 01 07 21       15.0
2014 01 07 22       21.0
2014 01 07 23       25.0
2014 01 08 00       17.0
2014 01 08 01       17.0
2014 01 08 02    -9999.0
2014 01 08 03       15.0
2014 01 08 04       13.0
2014 01 08 05       11.0
2014 01 08 06       11.0
2014 01 08 07       13.0
2014 01 08 08       13.0
2014 01 08 09       17.0
2014 01 08 10       29.0
2014 01 08 11       34.0
2014 01 08 12       46.0
2014 01 08 13       42.0
2014 01 08 14       48.0
2014 01 08 15       55.0
2014 01 08 16       63.0
2014 01 08 17       63.0
2014 01 08 18       59.0
2014 01 08 19       44.0
2014 01 08 20       38.0
2014 01 08 21       40.0
2014 01 08 22       42.0
2014 01 08 23       40.0
2014 01 09 00       40.0
2014 01 09 01       38.0
2014 01 09 02    -9999.0
2014 01 09 03       44.0
2014 01 09 04       46.0
2014 01 09 05       46.0
2014 01 09 06       38.0
2014 01 09 07       34.0
2014 01 09 08       33.0
2014 01 09 09       29.0
2014 01 09 10       31.0
2014 01 09 11       29.0
2014 01 09 12       31.0
2014 01 09 13       27.0
2014 01 09 14       25.0
2014 01 09 15       23.0
2014 01 09 16       21.0
2014 01 09 17       21.0
2014 01 09 18       25.0
2014 01 09 19       27.0
2014 01 09 20       34.0
2014 01 09 21       31.0
2014 01 09 22       34.0
2014 01 09 23       36.0
2014 01 10 00       34.0
2014 01 10 01       34.0
2014 01 10 02    -9999.0
2014 01 10 03       31.0
2014 01 10 04       29.0
2014 01 10 05       23.0
2014 01 10 06       21.0
2014 01 10 07       15.0
2014 01 10 08       17.0
2014 01 10 09       19.0
2014 01 10 10       34.0
2014 01 10 11       36.0
2014 01 10 12       38.0
2014 01 10 13       40.0
2014 01 10 14       34.0
2014 01 10 15       34.0
2014 01 10 16       44.0
2014 01 10 17       36.0
2014 01 10 18       33.0
2014 01 10 19       36.0
2014 01 10 20       36.0
2014 01 10 21       36.0
2014 01 10 22       40.0
2014 01 10 23       34.0
2014 01 11 00       31.0
2014 01 11 01       31.0
2014 01 11 02    -9999.0
2014 01 11 03       31.0
2014 01 11 04       29.0
2014 01 11 05       27.0
2014 01 11 06       23.0
2014 01 11 07       25.0
2014 01 11 08       25.0
2014 01 11 09       23.0
2014 01 11 10       25.0
2014 01 11 11       29.0
2014 01 11 12       36.0
2014 01 11 13       44.0
2014 01 11 14       46.0
2014 01 11 15       48.0
2014 01 11 16       46.0
2014 01 11 17       48.0
2014 01 11 18       46.0
2014 01 11 19       42.0
2014 01 11 20       36.0
2014 01 11 21       46.0
2014 01 11 22       44.0
2014 01 11 23       42.0
2014 01 12 00       46.0
2014 01 12 01       52.0
2014 01 12 02    -9999.0
2014 01 12 03       48.0
2014 01 12 04       48.0
2014 01 12 05       44.0
2014 01 12 06       40.0
2014 01 12 07       31.0
2014 01 12 08       27.0
2014 01 12 09       25.0
2014 01 12 10       23.0
2014 01 12 11       17.0
2014 01 12 12       15.0
2014 01 12 13       15.0
2014 01 12 14       17.0
2014 01 12 15       15.0
2014 01 12 16       13.0
2014 01 12 17       13.0
2014 01 12 18       15.0
2014 01 12 19       17.0
2014 01 12 20       17.0
2014 01 12 21       19.0
2014 01 12 22       19.0
2014 01 12 23       15.0
2014 01 13 00       13.0
2014 01 13 01       11.0
2014 01 13 02    -9999.0
2014 01 13 03       10.0
2014 01 13 04       10.0
2014 01 13 05       11.0
2014 01 13 06       17.0
2014 01 13 07       13.0
2014 01 13 08       13.0
2014 01 13 09       11.0
2014 01 13 10       21.0
2014 01 13 11       25.0
2014 01 13 12       19.0
2014 01 13 13       17.0
2014 01 13 14       17.0
2014 01 13 15       19.0
2014 01 13 16       23.0
2014 01 13 17       17.0
2014 01 13 18       17.0
2014 01 13 19       17.0
2014 01 13 20       13.0
2014 01 13 21       10.0
2014 01 13 22       10.0
2014 01 13 23       17.0
2014 01 14 00       11.0
2014 01 14 01       13.0
2014 01 14 02    -9999.0
2014 01 14 03       23.0
2014 01 14 04       25.0
2014 01 14 05       33.0
2014 01 14 06       13.0
2014 01 14 07       10.0
2014 01 14 08       10.0
2014 01 14 09       10.0
2014 01 14 10       15.0
2014 01 14 11       17.0
2014 01 14 12       15.0
2014 01 14 13       15.0
2014 01 14 14       11.0
2014 01 14 15       11.0
2014 01 14 16       17.0
2014 01 14 17       29.0
2014 01 14 18       40.0
2014 01 14 19       40.0
2014 01 14 20       38.0
2014 01 14 21       38.0
2014 01 14 22       36.0
2014 01 14 23       36.0
2014 01 15 00       34.0
2014 01 15 01       36.0
2014 01 15 02    -9999.0
