med.orarie NO2 [ug/m3] staz.** MARECCHIA

aaaa mm gg hh        NO2
2014 01 01 01       33.0
2014 01 01 02       32.0
2014 01 01 03       28.0
2014 01 01 04       29.0
2014 01 01 05       26.0
2014 01 01 06       19.0
2014 01 01 07       16.0
2014 01 01 08       16.0
2014 01 01 09       16.0
2014 01 01 10       15.0
2014 01 01 11       15.0
2014 01 01 12       13.0
2014 01 01 13       12.0
2014 01 01 14       12.0
2014 01 01 15       13.0
2014 01 01 16       15.0
2014 01 01 17       18.0
2014 01 01 18       29.0
2014 01 01 19       47.0
2014 01 01 20       46.0
2014 01 01 21       45.0
2014 01 01 22       39.0
2014 01 01 23       35.0
2014 01 02 00       32.0
2014 01 02 01       31.0
2014 01 02 02       27.0
2014 01 02 03       22.0
2014 01 02 04       21.0
2014 01 02 05       18.0
2014 01 02 06       19.0
2014 01 02 07       22.0
2014 01 02 08       28.0
2014 01 02 09       32.0
2014 01 02 10       33.0
2014 01 02 11       34.0
2014 01 02 12       35.0
2014 01 02 13       39.0
2014 01 02 14       36.0
2014 01 02 15       36.0
2014 01 02 16       37.0
2014 01 02 17       36.0
2014 01 02 18       36.0
2014 01 02 19       34.0
2014 01 02 20       36.0
2014 01 02 21       34.0
2014 01 02 22       34.0
2014 01 02 23       34.0
2014 01 03 00       34.0
2014 01 03 01       33.0
2014 01 03 02       33.0
2014 01 03 03       32.0
2014 01 03 04       32.0
2014 01 03 05       31.0
2014 01 03 06       31.0
2014 01 03 07       31.0
2014 01 03 08       30.0
2014 01 03 09       30.0
2014 01 03 10       28.0
2014 01 03 11       26.0
2014 01 03 12       25.0
2014 01 03 13       26.0
2014 01 03 14       25.0
2014 01 03 15       23.0
2014 01 03 16       23.0
2014 01 03 17       25.0
2014 01 03 18       25.0
2014 01 03 19       27.0
2014 01 03 20       31.0
2014 01 03 21       32.0
2014 01 03 22       32.0
2014 01 03 23    -9999.0
2014 01 04 00    -9999.0
2014 01 04 01    -9999.0
2014 01 04 02    -9999.0
2014 01 04 03    -9999.0
2014 01 04 04    -9999.0
2014 01 04 05    -9999.0
2014 01 04 06    -9999.0
2014 01 04 07    -9999.0
2014 01 04 08    -9999.0
2014 01 04 09    -9999.0
2014 01 04 10    -9999.0
2014 01 04 11    -9999.0
2014 01 04 12    -9999.0
2014 01 04 13    -9999.0
2014 01 04 14    -9999.0
2014 01 04 15    -9999.0
2014 01 04 16    -9999.0
2014 01 04 17    -9999.0
2014 01 04 18    -9999.0
2014 01 04 19    -9999.0
2014 01 04 20    -9999.0
2014 01 04 21    -9999.0
2014 01 04 22    -9999.0
2014 01 04 23    -9999.0
2014 01 05 00    -9999.0
2014 01 05 01    -9999.0
2014 01 05 02    -9999.0
2014 01 05 03    -9999.0
2014 01 05 04    -9999.0
2014 01 05 05    -9999.0
2014 01 05 06    -9999.0
2014 01 05 07    -9999.0
2014 01 05 08    -9999.0
2014 01 05 09    -9999.0
2014 01 05 10    -9999.0
2014 01 05 11    -9999.0
2014 01 05 12    -9999.0
2014 01 05 13    -9999.0
2014 01 05 14    -9999.0
2014 01 05 15    -9999.0
2014 01 05 16    -9999.0
2014 01 05 17    -9999.0
2014 01 05 18    -9999.0
2014 01 05 19    -9999.0
2014 01 05 20    -9999.0
2014 01 05 21    -9999.0
2014 01 05 22    -9999.0
2014 01 05 23    -9999.0
2014 01 06 00    -9999.0
2014 01 06 01    -9999.0
2014 01 06 02    -9999.0
2014 01 06 03    -9999.0
2014 01 06 04    -9999.0
2014 01 06 05    -9999.0
2014 01 06 06    -9999.0
2014 01 06 07    -9999.0
2014 01 06 08    -9999.0
2014 01 06 09    -9999.0
2014 01 06 10    -9999.0
2014 01 06 11    -9999.0
2014 01 06 12    -9999.0
2014 01 06 13    -9999.0
2014 01 06 14    -9999.0
2014 01 06 15    -9999.0
2014 01 06 16    -9999.0
2014 01 06 17    -9999.0
2014 01 06 18    -9999.0
2014 01 06 19    -9999.0
2014 01 06 20    -9999.0
2014 01 06 21    -9999.0
2014 01 06 22    -9999.0
2014 01 06 23    -9999.0
2014 01 07 00    -9999.0
2014 01 07 01    -9999.0
2014 01 07 02    -9999.0
2014 01 07 03    -9999.0
2014 01 07 04    -9999.0
2014 01 07 05    -9999.0
2014 01 07 06    -9999.0
2014 01 07 07    -9999.0
2014 01 07 08    -9999.0
2014 01 07 09    -9999.0
2014 01 07 10    -9999.0
2014 01 07 11    -9999.0
2014 01 07 12       36.0
2014 01 07 13       29.0
2014 01 07 14       27.0
2014 01 07 15       26.0
2014 01 07 16       31.0
2014 01 07 17       36.0
2014 01 07 18       37.0
2014 01 07 19       40.0
2014 01 07 20       40.0
2014 01 07 21       40.0
2014 01 07 22       40.0
2014 01 07 23       33.0
2014 01 08 00       34.0
2014 01 08 01       34.0
2014 01 08 02       31.0
2014 01 08 03       25.0
2014 01 08 04       23.0
2014 01 08 05       19.0
2014 01 08 06       17.0
2014 01 08 07       18.0
2014 01 08 08       22.0
2014 01 08 09       28.0
2014 01 08 10       36.0
2014 01 08 11       42.0
2014 01 08 12       37.0
2014 01 08 13       32.0
2014 01 08 14       33.0
2014 01 08 15       36.0
2014 01 08 16       40.0
2014 01 08 17       42.0
2014 01 08 18       42.0
2014 01 08 19       48.0
