med.orarie NO2 [ug/m3] staz.** SAN CLEMENTE

aaaa mm gg hh        NO2
2014 01 01 01       19.0
2014 01 01 02       21.0
2014 01 01 03       22.0
2014 01 01 04       19.0
2014 01 01 05       17.0
2014 01 01 06       16.0
2014 01 01 07       15.0
2014 01 01 08       14.0
2014 01 01 09       12.0
2014 01 01 10        9.0
2014 01 01 11        8.0
2014 01 01 12        6.0
2014 01 01 13        4.0
2014 01 01 14        7.0
2014 01 01 15       10.0
2014 01 01 16       10.0
2014 01 01 17       14.0
2014 01 01 18       22.0
2014 01 01 19       27.0
2014 01 01 20       24.0
2014 01 01 21       23.0
2014 01 01 22       16.0
2014 01 01 23       12.0
2014 01 02 00       11.0
2014 01 02 01        8.0
2014 01 02 02        8.0
2014 01 02 03        7.0
2014 01 02 04        6.0
2014 01 02 05        6.0
2014 01 02 06        4.0
2014 01 02 07        3.0
2014 01 02 08        4.0
2014 01 02 09        5.0
2014 01 02 10        6.0
2014 01 02 11        5.0
2014 01 02 12        6.0
2014 01 02 13        4.0
2014 01 02 14        4.0
2014 01 02 15        3.0
2014 01 02 16        5.0
2014 01 02 17       10.0
2014 01 02 18       18.0
2014 01 02 19       36.0
2014 01 02 20       34.0
2014 01 02 21       33.0
2014 01 02 22       33.0
2014 01 02 23       34.0
2014 01 03 00       32.0
2014 01 03 01       30.0
2014 01 03 02       30.0
2014 01 03 03       29.0
2014 01 03 04       29.0
2014 01 03 05       27.0
2014 01 03 06       26.0
2014 01 03 07       25.0
2014 01 03 08       26.0
2014 01 03 09       24.0
2014 01 03 10       23.0
2014 01 03 11       23.0
2014 01 03 12       22.0
2014 01 03 13       22.0
2014 01 03 14       20.0
2014 01 03 15       19.0
2014 01 03 16       22.0
2014 01 03 17       25.0
2014 01 03 18       27.0
2014 01 03 19       28.0
2014 01 03 20       27.0
2014 01 03 21       29.0
2014 01 03 22       30.0
2014 01 03 23       30.0
2014 01 04 00       30.0
2014 01 04 01       30.0
2014 01 04 02       31.0
2014 01 04 03       31.0
2014 01 04 04       29.0
2014 01 04 05       31.0
2014 01 04 06       30.0
2014 01 04 07       30.0
2014 01 04 08       28.0
2014 01 04 09       24.0
2014 01 04 10       20.0
2014 01 04 11       20.0
2014 01 04 12       16.0
2014 01 04 13       16.0
2014 01 04 14       12.0
2014 01 04 15        9.0
2014 01 04 16        9.0
2014 01 04 17        3.0
2014 01 04 18        2.0
2014 01 04 19        3.0
2014 01 04 20        2.0
2014 01 04 21        1.0
2014 01 04 22        1.0
2014 01 04 23        1.0
2014 01 05 00        1.0
2014 01 05 01        1.0
2014 01 05 02        2.0
2014 01 05 03        2.0
2014 01 05 04        2.0
2014 01 05 05        3.0
2014 01 05 06        4.0
2014 01 05 07        4.0
2014 01 05 08        3.0
2014 01 05 09        3.0
2014 01 05 10        3.0
2014 01 05 11        3.0
2014 01 05 12        3.0
2014 01 05 13        3.0
2014 01 05 14        2.0
2014 01 05 15        3.0
2014 01 05 16        3.0
2014 01 05 17        4.0
2014 01 05 18       18.0
2014 01 05 19       29.0
2014 01 05 20       29.0
2014 01 05 21       28.0
2014 01 05 22       26.0
2014 01 05 23       24.0
2014 01 06 00       24.0
2014 01 06 01       21.0
2014 01 06 02       19.0
2014 01 06 03       14.0
2014 01 06 04       10.0
2014 01 06 05       10.0
2014 01 06 06        8.0
2014 01 06 07        7.0
2014 01 06 08        6.0
2014 01 06 09        5.0
2014 01 06 10        6.0
2014 01 06 11        6.0
2014 01 06 12        5.0
2014 01 06 13        4.0
2014 01 06 14        4.0
2014 01 06 15        5.0
2014 01 06 16        8.0
2014 01 06 17       16.0
2014 01 06 18       24.0
2014 01 06 19       23.0
2014 01 06 20       20.0
2014 01 06 21       17.0
2014 01 06 22       13.0
2014 01 06 23        9.0
2014 01 07 00        9.0
2014 01 07 01        8.0
2014 01 07 02        9.0
2014 01 07 03        9.0
2014 01 07 04        8.0
2014 01 07 05       12.0
2014 01 07 06       13.0
2014 01 07 07       17.0
2014 01 07 08       19.0
2014 01 07 09       23.0
2014 01 07 10       19.0
2014 01 07 11       12.0
2014 01 07 12       13.0
2014 01 07 13       21.0
2014 01 07 14       28.0
2014 01 07 15       26.0
2014 01 07 16       26.0
2014 01 07 17       30.0
2014 01 07 18       36.0
2014 01 07 19       31.0
2014 01 07 20       28.0
2014 01 07 21       25.0
2014 01 07 22       15.0
2014 01 07 23       16.0
2014 01 08 00       14.0
2014 01 08 01       12.0
2014 01 08 02       11.0
2014 01 08 03       11.0
2014 01 08 04       10.0
2014 01 08 05       10.0
2014 01 08 06       10.0
2014 01 08 07       13.0
2014 01 08 08       16.0
2014 01 08 09       14.0
2014 01 08 10       15.0
