med.giorn. PM10 [ug/m3] staz.** CITTADELLA

aaaa mm gg       PM10
2015 02 01       45.0
2015 02 02       28.0
2015 02 03       63.0
2015 02 04    -9999.0
2015 02 05       10.0
2015 02 06        8.0
2015 02 07       31.0
2015 02 08       38.0
2015 02 09       56.0
2015 02 10       61.0
2015 02 11       85.0
2015 02 12       91.0
2015 02 13      128.0
2015 02 14      142.0
2015 02 15       38.0
2015 02 16       38.0
2015 02 17       61.0
2015 02 18       57.0
2015 02 19       51.0
2015 02 20       51.0
2015 02 21       71.0
2015 02 22       15.0
2015 02 23       24.0
2015 02 24       25.0
2015 02 25       13.0
2015 02 26       26.0
2015 02 27       35.0
2015 02 28       51.0
2015 03 01       34.0
2015 03 02       52.0
2015 03 03       47.0
2015 03 04       54.0
2015 03 05       12.0
2015 03 06       20.0
2015 03 07       27.0
2015 03 08       30.0
2015 03 09       32.0
2015 03 10       48.0
