med.giorn. PM10 [ug/m3] staz.** BADIA

aaaa mm gg       PM10
2015 02 01       22.0
2015 02 02       10.0
2015 02 03       25.0
2015 02 04    -9999.0
2015 02 05        6.0
2015 02 06        7.0
2015 02 07       19.0
2015 02 08       25.0
2015 02 09       27.0
2015 02 10       27.0
2015 02 11       33.0
2015 02 12       50.0
2015 02 13       79.0
2015 02 14       72.0
2015 02 15       30.0
2015 02 16       22.0
2015 02 17       41.0
2015 02 18    -9999.0
2015 02 19       21.0
2015 02 20       24.0
2015 02 21       35.0
2015 02 22    -9999.0
2015 02 23       12.0
2015 02 24       10.0
2015 02 25        8.0
2015 02 26       14.0
2015 02 27       21.0
2015 02 28       26.0
2015 03 01       18.0
2015 03 02       32.0
2015 03 03       34.0
2015 03 04       33.0
2015 03 05       11.0
2015 03 06       15.0
2015 03 07       15.0
2015 03 08       18.0
2015 03 09       22.0
2015 03 10       27.0
