med.giorn. PM10 [ug/m3] staz.** S. LAZZARO

aaaa mm gg       PM10
2015 02 01       36.0
2015 02 02       29.0
2015 02 03       51.0
2015 02 04       22.0
2015 02 05       12.0
2015 02 06    -9999.0
2015 02 07       26.0
2015 02 08       26.0
2015 02 09       37.0
2015 02 10       57.0
2015 02 11       77.0
2015 02 12       89.0
2015 02 13      115.0
2015 02 14      118.0
2015 02 15       35.0
2015 02 16       26.0
2015 02 17       50.0
2015 02 18       42.0
2015 02 19       46.0
2015 02 20       56.0
2015 02 21       57.0
2015 02 22       14.0
2015 02 23       21.0
2015 02 24    -9999.0
2015 02 25        5.0
2015 02 26       20.0
2015 02 27       26.0
2015 02 28       41.0
2015 03 01       42.0
2015 03 02       46.0
2015 03 03       40.0
2015 03 04       48.0
2015 03 05       11.0
2015 03 06       21.0
2015 03 07       24.0
2015 03 08       21.0
2015 03 09       33.0
2015 03 10       40.0
