med.giorn. PM10 [ug/m3] staz.** FEBBIO

aaaa mm gg       PM10
2015 02 01        1.0
2015 02 02        6.0
2015 02 03        6.0
2015 02 04        5.0
2015 02 05        0.0
2015 02 06        0.0
2015 02 07        7.0
2015 02 08        5.0
2015 02 09        7.0
2015 02 10        5.0
2015 02 11        6.0
2015 02 12        7.0
2015 02 13       13.0
2015 02 14        2.0
2015 02 15        2.0
2015 02 16        4.0
2015 02 17       12.0
2015 02 18       19.0
2015 02 19       11.0
2015 02 20       15.0
2015 02 21        1.0
2015 02 22        0.0
2015 02 23        2.0
2015 02 24        0.0
2015 02 25        1.0
2015 02 26        3.0
2015 02 27        8.0
2015 02 28       15.0
2015 03 01        9.0
2015 03 02        7.0
2015 03 03       10.0
2015 03 04        9.0
2015 03 05        4.0
2015 03 06        6.0
2015 03 07       11.0
2015 03 08       20.0
2015 03 09       14.0
2015 03 10       10.0
