med.giorn. PM10 [ug/m3] staz.** S. ROCCO

aaaa mm gg       PM10
2015 02 01       36.0
2015 02 02       38.0
2015 02 03       53.0
2015 02 04       35.0
2015 02 05        9.0
2015 02 06    -9999.0
2015 02 07       32.0
2015 02 08       35.0
2015 02 09       49.0
2015 02 10       77.0
2015 02 11      112.0
2015 02 12      100.0
2015 02 13      111.0
2015 02 14       96.0
2015 02 15       41.0
2015 02 16       33.0
2015 02 17       52.0
2015 02 18       48.0
2015 02 19    -9999.0
2015 02 20       56.0
2015 02 21       72.0
2015 02 22       13.0
2015 02 23       19.0
2015 02 24       26.0
2015 02 25       11.0
2015 02 26       21.0
2015 02 27       30.0
2015 02 28       46.0
2015 03 01       36.0
2015 03 02       58.0
2015 03 03       43.0
2015 03 04       40.0
2015 03 05       12.0
2015 03 06       19.0
2015 03 07       29.0
2015 03 08       31.0
2015 03 09       33.0
2015 03 10       49.0
