med.giorn. PM10 [ug/m3] staz.** PARCO FERRARI

aaaa mm gg       PM10
2015 02 01       40.0
2015 02 02       39.0
2015 02 03       55.0
2015 02 04       34.0
2015 02 05       21.0
2015 02 06       18.0
2015 02 07       38.0
2015 02 08       34.0
2015 02 09       45.0
2015 02 10       61.0
2015 02 11       97.0
2015 02 12      110.0
2015 02 13      109.0
2015 02 14      125.0
2015 02 15       47.0
2015 02 16       35.0
2015 02 17       58.0
2015 02 18       51.0
2015 02 19       51.0
2015 02 20       58.0
2015 02 21       42.0
2015 02 22       12.0
2015 02 23       17.0
2015 02 24       39.0
2015 02 25       12.0
2015 02 26       26.0
2015 02 27       36.0
2015 02 28       46.0
2015 03 01       46.0
2015 03 02       60.0
2015 03 03       47.0
2015 03 04       59.0
2015 03 05       16.0
2015 03 06       19.0
2015 03 07       29.0
2015 03 08       29.0
2015 03 09       33.0
2015 03 10       43.0
