med.giorn. PM10 [ug/m3] staz.** GHERARDI

aaaa mm gg       PM10
2015 02 01       34.0
2015 02 02       51.0
2015 02 03       37.0
2015 02 04       13.0
2015 02 05       15.0
2015 02 06       16.0
2015 02 07       19.0
2015 02 08       41.0
2015 02 09       17.0
2015 02 10       46.0
2015 02 11    -9999.0
2015 02 12       58.0
2015 02 13       29.0
2015 02 14       47.0
2015 02 15       22.0
2015 02 16       24.0
2015 02 17       35.0
2015 02 18       28.0
2015 02 19       50.0
2015 02 20       64.0
2015 02 21       31.0
2015 02 22       15.0
2015 02 23       23.0
2015 02 24       25.0
2015 02 25        9.0
2015 02 26       15.0
2015 02 27       30.0
2015 02 28       28.0
2015 03 01       48.0
2015 03 02       34.0
2015 03 03       24.0
2015 03 04       20.0
2015 03 05       10.0
2015 03 06        9.0
2015 03 07       14.0
2015 03 08       18.0
2015 03 09       24.0
2015 03 10       43.0
