med.giorn. PM10 [ug/m3] staz.** VILLA FULVIA

aaaa mm gg       PM10
2015 02 01       36.0
2015 02 02       59.0
2015 02 03       44.0
2015 02 04       21.0
2015 02 05       13.0
2015 02 06       16.0
2015 02 07       28.0
2015 02 08       45.0
2015 02 09       32.0
2015 02 10       59.0
2015 02 11       90.0
2015 02 12       76.0
2015 02 13       48.0
2015 02 14       43.0
2015 02 15       25.0
2015 02 16       21.0
2015 02 17       40.0
2015 02 18       37.0
2015 02 19       53.0
2015 02 20       61.0
2015 02 21       37.0
2015 02 22        6.0
2015 02 23       18.0
2015 02 24       19.0
2015 02 25       11.0
2015 02 26       18.0
2015 02 27       33.0
2015 02 28       34.0
2015 03 01       49.0
2015 03 02       49.0
2015 03 03    -9999.0
2015 03 04       26.0
2015 03 05       14.0
2015 03 06       16.0
2015 03 07       18.0
2015 03 08       21.0
2015 03 09       26.0
2015 03 10       42.0
