med.giorn. PM10 [ug/m3] staz.** PARCO BUCCI

aaaa mm gg       PM10
2015 02 01       27.0
2015 02 02       22.0
2015 02 03       21.0
2015 02 04       24.0
2015 02 05       12.0
2015 02 06       15.0
2015 02 07       20.0
2015 02 08       26.0
2015 02 09       23.0
2015 02 10       30.0
2015 02 11       44.0
2015 02 12       55.0
2015 02 13       58.0
2015 02 14       78.0
2015 02 15       39.0
2015 02 16       25.0
2015 02 17       48.0
2015 02 18       38.0
2015 02 19       34.0
2015 02 20       37.0
2015 02 21       23.0
2015 02 22       23.0
2015 02 23       14.0
2015 02 24       25.0
2015 02 25        6.0
2015 02 26       19.0
2015 02 27       21.0
2015 02 28       32.0
2015 03 01       22.0
2015 03 02       29.0
2015 03 03       50.0
2015 03 04       44.0
2015 03 05       11.0
2015 03 06       14.0
2015 03 07       16.0
2015 03 08       21.0
2015 03 09       26.0
2015 03 10       39.0
