med.giorn. PM10 [ug/m3] staz.** DELTA CERVIA

aaaa mm gg       PM10
2015 02 01       30.0
2015 02 02       33.0
2015 02 03       18.0
2015 02 04       20.0
2015 02 05       25.0
2015 02 06    -9999.0
2015 02 07       18.0
2015 02 08       19.0
2015 02 09       14.0
2015 02 10       32.0
2015 02 11       55.0
2015 02 12       60.0
2015 02 13       73.0
2015 02 14       77.0
2015 02 15       32.0
2015 02 16       23.0
2015 02 17       40.0
2015 02 18       27.0
2015 02 19       33.0
2015 02 20       42.0
2015 02 21       33.0
2015 02 22       30.0
2015 02 23       29.0
2015 02 24       26.0
2015 02 25        7.0
2015 02 26       19.0
2015 02 27       26.0
2015 02 28       25.0
2015 03 01       37.0
2015 03 02       29.0
2015 03 03       42.0
2015 03 04       39.0
2015 03 05       17.0
2015 03 06       22.0
2015 03 07       19.0
2015 03 08       24.0
2015 03 09       24.0
2015 03 10       41.0
