       CODE NAME                           MUNICIPALITY                   PR       LAT       LON  ELEV  CLA FIRSTDAY LASTDAY   O3  PM  N2  NO  NX  S2  CO  BZ  P2         
----------- ------------------------------ ------------------------------ -- --------- --------- ----- ---- -------- -------- --- --- --- --- --- --- --- --- ---         
    2000003 CITTADELLA                     PARMA                          PR  44.80000  10.33000    60  031 19930501 -999      01  01  01  01  01  00  00  00  01         
    2000214 BADIA                          LANGHIRANO                     PR  44.65823  10.28937   202  033 20080129 -999      01  01  01  01  01  00  01  00  01         
    2000219 SARAGAT                        COLORNO                        PR  44.92596  10.37191    30  032 20080302 -999      01  01  01  01  01  00  01  00  00         
    3000007 S. LAZZARO                     REGGIO NELL'EMILIA             RE  44.68999  10.66000    55  032 19940124 -999      01  01  01  01  01  01  01  00  01         
    3000018 FEBBIO                         VILLA MINOZZO                  RE  44.29880  10.42886  1120  033 20041007 -999      01  01  01  01  01  00  00  00  00         
    3000022 S. ROCCO                       GUASTALLA                      RE  44.87374  10.66579    22  033 20080401 -999      01  01  01  01  01  00  00  00  01 
    4000022 MO - PARCO FERRARI             MODENA                         MO  44.65260  10.90892    30  031 20051116 -999      01  01  01  01  01  00  01  00  01         
    4000155 PARCO EDILCARANI               SASSUOLO                       MO  44.54038  10.79236   118  031 20100216 -999      00  01  01  01  01  00  00  00  00         
    5000013 PUBBLICO PASSEGGIO             PIACENZA                       PC  45.04520   9.70139    61  031 19961015 -999      01  01  01  01  01  01  01  01  00         
    5000066 CORTE BRUGNATELLA              CORTE BRUGNATELLA              PC  44.73300   9.36600 -9999  033 20100426 -999      01  01  01  01  01  00  00  00  00         
    6000010 PARCO RESISTENZA               FORLI'                         FC  44.22000  12.05000    29  031 19950101 -999      01  01  01  01  01  00  01  01  01         
    7000014 GIARDINI MARGHERITA            BOLOGNA                        BO  44.48357  11.35503    43  031 19980101 -999      01  01  01  01  01  00  01  01  01         
    7000027 SAN PIETRO CAPOFIUME           MOLINELLA                      BO  44.65420  11.62482    11  033 20000301 -999      01  01  01  01  01  01  00  00  01         
    8000007 GHERARDI                       JOLANDA DI SAVOIA              FE  44.83996  11.96000    -2  033 19980301 -999      01  01  01  01  01  00  00  00  01         
    8000038 CENTO                          CENTO                          FE  44.71568  11.28512    16  032 20071220 -999      01  01  01  01  01  00  01  00  00         
    8000040 VILLA FULVIA                   FERRARA                        FE  44.82424  11.64962     9  031 20080917 -999      01  01  01  01  01  00  00  00  01         
    9000018 PARCO BUCCI                    FAENZA                         RA  44.28266  11.87050    35  031 19951101 -999      01  01  01  01  01  00  01  00  01         
    9000021 CAORLE                         RAVENNA                        RA  44.41926  12.22539     4  031 19990329 -999      01  01  01  01  01  01  01  00  00         
    9000070 DELTA CERVIA                   CERVIA                         RA  44.28661  12.33246     0  032 20090225 -999      01  01  01  01  01  00  00  00  00         
   10000002 MARECCHIA                      RIMINI                         RN  44.06431  12.55249     5  032 19960401 -999      01  01  01  01  01  00  01  00  01         
   10000059 VERUCCHIO                      VERUCCHIO                      RN  44.01675  12.42118    78  032 20080123 -999      01  01  01  01  01  00  00  00  00         
   10000072 MONDAINO                       MONDAINO                       RN  43.84264  12.64745   127  033 20100319 -999      01  01  01  01  01  00  00  00  00         

